"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"
"1"	85	0	102	0	19	616	68	134	44	112
"2"	178	2	382	0	286	42	26	92	75	176
"3"	476	23	17	10	47	42	196	39	21	190
"4"	233	2	64	21	727	33	48	130	82	287
"5"	113	0	1373	3	102	108	92	2	74	70
"6"	537	10	102	11	162	16	462	17	8	265
"7"	1108	19	8	7	69	10	440	100	4	230
"8"	650	5	73	2	118	77	103	40	39	151
"9"	563	14	75	0	25	347	124	169	143	233
"10"	81	2	105	0	227	201	136	39	69	174
"11"	70	0	466	1	811	19	8	1	0	45
"12"	289	39	5	82	133	4	471	2	8	208
"13"	422	5	404	0	61	130	77	91	161	266
"14"	513	8	7	3	24	96	51	132	73	227
"15"	768	4	0	181	147	0	684	5	1	103
"16"	98	1	208	1	70	171	47	145	276	271
"17"	1014	101	1	39	90	7	56	40	91	183
"18"	413	5	53	61	357	30	158	7	54	357
"19"	87	0	237	0	570	18	35	13	4	79
"20"	104	8	57	0	21	408	35	170	139	275
"21"	408	0	271	0	231	77	0	59	523	199
"22"	1010	39	3	42	13	44	309	19	2	170
"23"	176	0	24	18	900	54	4	5	12	181
"24"	299	1	98	27	461	58	181	6	71	258
"25"	776	0	231	8	55	56	41	9	15	240
"26"	544	0	67	20	50	315	72	210	208	260
"27"	679	14	3	200	428	8	1	33	180	355
"28"	563	0	0	9	424	90	281	79	13	407
"29"	364	24	5	68	295	42	157	84	42	222
"30"	545	23	2	16	138	16	28	57	93	260
"31"	661	6	441	0	0	211	45	41	266	167
"32"	1320	15	0	8	0	19	206	21	68	46
"33"	215	0	36	0	385	90	79	57	42	150
"34"	454	4	40	9	145	49	20	40	223	247
"35"	46	0	234	0	3	791	36	102	278	80
"36"	641	39	0	1	227	35	67	445	68	280
"37"	293	41	102	1	202	38	29	37	99	177
"38"	75	5	219	1	941	12	1	7	45	94
"39"	95	1	867	0	357	50	2	2	27	116
"40"	792	24	39	219	192	19	102	54	114	347
"41"	280	0	380	4	729	27	57	1	71	209
"42"	322	2	31	23	422	11	21	30	111	286
"43"	558	20	43	4	124	78	103	89	152	228
"44"	466	15	381	2	78	23	13	6	127	221
"45"	139	20	32	0	709	100	53	139	266	249
"46"	435	2	166	0	83	65	64	30	93	150
"47"	506	11	8	162	349	2	6	3	73	221
"48"	917	40	70	22	150	42	24	103	131	312
"49"	709	6	22	1	0	39	53	107	99	111
"50"	487	24	36	87	480	87	7	9	92	221
"51"	261	0	152	8	489	205	106	42	131	328
"52"	108	6	108	0	783	45	104	92	261	259
"53"	601	64	8	6	426	35	76	111	64	279
"54"	312	4	1107	7	134	146	32	36	66	64
"55"	732	29	20	88	280	66	9	46	190	231
"56"	622	0	905	1	10	147	71	41	91	76
"57"	256	0	14	3	76	144	190	184	34	106
"58"	7	0	56	0	1040	1	0	0	3	47
"59"	129	0	129	0	982	63	270	2	12	131
"60"	383	0	1	0	9	28	727	121	11	187
"61"	447	1	142	2	37	72	326	18	19	196
"62"	196	14	108	0	240	271	32	156	154	377
"63"	22	0	9	0	1898	0	27	0	0	41
"64"	380	10	10	48	408	29	1	6	43	109
"65"	506	6	72	15	742	20	222	23	53	331
"66"	282	15	416	0	129	15	102	0	10	145
"67"	136	0	201	0	449	56	145	3	4	273
"68"	435	9	30	146	854	2	43	0	9	176
"69"	174	7	159	0	274	343	0	249	388	293
"70"	375	1	36	0	54	224	6	506	376	186
"71"	60	0	2	0	6	507	71	312	113	84
"72"	298	2	83	1	253	127	217	32	60	237
"73"	292	15	61	97	184	15	253	0	4	149
"74"	662	12	231	41	91	16	118	1	36	200
"75"	389	17	0	10	459	12	424	155	16	366
"76"	625	22	5	0	8	89	97	242	122	226
"77"	278	0	8	0	454	202	42	275	108	152
"78"	327	14	240	15	98	88	3	89	669	202
"79"	152	4	474	7	328	16	33	26	75	216
"80"	157	41	140	28	454	16	33	6	27	119
"81"	104	5	307	2	261	10	889	0	2	98
"82"	716	6	102	16	170	41	348	5	4	220
"83"	123	0	73	8	663	19	79	35	77	173
"84"	145	0	654	1	392	93	28	23	176	282
"85"	496	18	33	0	317	25	185	60	28	240
"86"	221	0	583	4	112	93	29	34	142	80
"87"	324	1	3	2	193	57	341	72	5	121
"88"	184	0	86	0	80	74	535	59	30	116
"89"	1136	35	67	45	130	3	46	41	74	210
"90"	127	20	17	0	624	9	54	20	22	188
"91"	271	8	262	0	95	126	174	8	23	231
"92"	179	12	156	1	467	101	140	32	90	213
"93"	900	37	102	291	81	3	0	0	36	94
"94"	501	7	92	35	440	72	18	50	91	312
"95"	135	4	116	0	231	170	41	131	81	157
"96"	797	120	0	138	409	30	145	148	33	176
"97"	85	0	20	0	664	4	307	13	0	68
"98"	128	0	719	1	311	82	61	4	4	253
"99"	401	1	140	0	152	227	82	95	292	157
"100"	136	4	1	32	742	8	34	20	13	79
