"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"
"1"	3	0	0	135	40	0	23	1	0	0	0	0	11	0	44	2	5	7	0	3	32	15	31	0	0	4	0	108	34	0	0	0	0	20	3	0	11	0	11	12	59	5	0	2	56	1	8	5	9	0	0	9	17	0	0	12	15	0	0	24	17	12	0	20	105	0	2	2	3	47	17	0	20	162	15	4	5	0	0	0	1	0	0	41	0	7	0	5	5	0	1	62	0	6	3	5	0	0	0	0	0	4	0	0	0	0	108	0	0	25	17	0	20	0	1	10	10	41	0	0	8	0	7	0	7	5	0	12	0	0	77	6	1	4	0	0	11	14	5	0	23	0	8	21	0	21	0	110	2	0
"2"	0	5	0	314	11	0	0	0	0	2	0	0	6	1	22	0	0	11	0	11	9	11	33	0	0	7	4	10	5	0	0	0	0	9	0	0	4	7	0	0	7	0	0	1	27	0	0	3	14	0	0	0	37	0	0	3	0	0	0	0	0	1	0	1	55	0	1	0	2	4	5	0	3	1	2	10	20	0	0	0	3	0	24	4	4	0	0	3	0	0	3	23	1	1	12	4	0	0	0	0	0	0	0	0	7	1	17	1	0	4	0	0	18	0	17	76	11	10	4	0	0	0	0	0	11	70	0	0	0	0	6	0	15	0	0	6	0	1	13	6	0	0	26	3	0	9	0	16	23	0
"3"	0	0	0	25	62	0	0	0	1	2	0	0	4	5	20	0	1	14	0	2	15	12	5	0	0	7	0	10	10	0	0	0	0	24	1	0	27	9	0	0	69	4	0	15	3	0	0	4	4	0	0	1	19	0	1	0	4	0	3	0	1	13	0	7	44	1	56	0	14	23	35	0	0	14	1	26	50	0	0	0	0	2	0	41	0	3	0	0	24	2	0	4	4	13	9	25	0	0	0	7	0	1	0	22	0	0	11	0	0	15	0	0	10	0	6	1	0	2	0	0	3	0	0	0	1	25	1	4	1	1	34	29	34	2	0	18	0	1	6	4	1	0	9	2	0	7	0	23	5	15
"4"	0	0	0	34	4	0	15	0	0	39	0	0	13	6	26	56	0	14	0	0	12	18	27	0	0	0	0	7	16	0	15	0	0	27	1	0	12	0	0	7	34	0	0	6	6	2	0	0	0	0	0	3	44	1	29	13	12	2	3	0	8	64	10	3	46	0	0	12	17	18	15	9	5	37	53	13	43	0	0	0	2	0	4	18	0	7	0	14	0	0	7	29	1	1	0	1	6	21	0	0	0	2	0	0	0	0	10	1	1	46	1	0	27	27	1	27	22	15	0	0	28	0	0	0	8	19	1	6	0	24	6	0	1	56	0	1	0	1	35	2	49	0	46	0	0	14	0	20	20	1
"5"	0	0	0	11	56	0	1	2	4	6	0	0	9	5	41	9	2	19	4	0	72	10	5	0	0	4	0	49	9	0	0	0	0	22	0	0	9	46	0	3	126	0	0	22	65	0	8	8	32	0	0	0	35	6	1	1	0	0	1	0	15	4	0	23	68	0	22	0	19	21	27	6	14	40	3	1	25	15	0	0	0	0	0	18	0	50	11	3	4	14	0	43	1	5	0	32	5	2	0	0	0	0	1	2	0	15	36	0	14	62	0	0	20	74	1	6	6	118	0	0	62	0	8	0	0	28	0	5	1	0	8	0	0	1	4	14	2	8	27	2	2	0	116	8	0	27	0	36	56	14
"6"	10	0	0	2	87	0	20	0	3	0	0	2	5	3	27	24	0	10	0	0	40	14	18	0	0	0	0	44	14	0	0	0	0	111	0	0	44	12	0	5	38	0	2	10	20	0	2	3	0	0	0	0	47	6	2	15	17	22	0	0	15	6	0	9	30	0	8	0	51	24	16	3	26	18	37	9	4	2	2	0	60	1	0	37	0	7	0	21	0	0	7	1	0	7	0	13	28	0	0	1	0	3	0	0	2	0	51	0	0	45	0	4	8	20	6	0	1	10	0	0	5	0	7	1	0	28	0	0	0	0	32	3	4	10	6	4	2	8	6	1	8	0	57	6	0	18	0	0	23	2
"7"	2	0	0	9	59	0	86	0	0	13	0	0	19	31	118	6	12	20	0	28	42	6	34	0	0	11	0	24	0	0	0	0	0	15	0	0	17	2	0	0	31	0	22	3	15	0	0	72	10	0	0	6	41	10	1	2	6	0	0	1	33	11	0	32	39	0	2	0	22	29	29	2	35	7	35	21	49	0	0	0	6	4	0	26	0	23	0	21	23	2	31	30	0	9	0	32	2	3	0	3	0	21	0	0	0	0	23	0	0	84	1	0	42	0	3	33	2	13	0	1	12	0	5	0	1	14	0	0	0	0	18	4	12	2	0	5	6	2	2	26	2	4	109	24	18	13	0	23	2	29
"8"	2	0	0	213	7	0	7	0	2	8	0	0	2	0	62	4	19	18	0	3	29	15	11	0	0	2	0	54	6	0	0	0	0	31	0	0	19	13	0	1	62	0	29	0	6	0	0	0	3	0	0	4	18	10	0	0	0	3	0	0	6	18	0	9	55	0	0	0	3	17	9	34	16	3	23	10	9	0	0	0	9	0	0	42	3	0	0	59	0	5	2	31	6	1	1	41	1	0	0	2	0	0	0	0	0	0	18	0	0	31	1	0	7	23	12	8	1	39	0	0	23	0	14	0	15	30	0	66	1	11	14	1	9	0	1	0	0	0	0	9	15	0	3	3	1	1	1	11	8	10
"9"	0	0	0	7	10	0	8	0	0	0	0	0	16	0	7	29	5	13	0	12	6	11	3	0	1	0	0	27	13	2	0	1	0	32	0	0	32	10	0	13	37	19	0	5	42	0	0	2	2	0	0	10	17	0	0	0	2	0	0	0	3	1	0	10	29	0	6	10	13	8	3	2	18	10	9	5	19	3	0	0	4	11	3	22	0	11	0	6	0	5	1	43	1	4	1	21	0	0	0	7	0	11	0	15	0	0	40	0	0	40	12	0	3	17	18	18	12	6	0	0	6	0	0	0	2	8	0	0	0	0	22	0	6	3	1	4	12	3	13	0	16	0	30	4	1	30	0	48	1	12
"10"	6	0	0	15	56	0	16	23	3	7	0	20	6	18	68	20	25	16	0	8	5	21	2	0	0	15	15	50	6	16	0	0	0	28	0	0	73	4	6	1	108	0	0	0	27	0	0	2	0	0	0	0	12	1	0	1	44	0	0	0	10	2	9	3	37	0	8	7	64	32	7	0	13	30	13	23	45	4	0	0	1	0	0	44	0	5	0	12	7	28	0	28	0	1	0	3	29	0	0	0	1	0	8	2	0	0	69	0	0	12	3	0	8	29	0	41	0	20	8	0	18	0	3	1	0	11	0	0	0	0	23	5	23	7	0	7	0	9	0	25	42	0	34	22	0	24	0	28	39	7
