"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"1"	127	43	0	1	38	44	0	339	24	7	66	156	4	12	154	2	44	508	57	2
"2"	69	55	0	33	17	165	0	438	3	3	17	263	5	0	262	0	22	453	44	2
"3"	61	1	89	57	12	141	0	297	1	30	31	61	5	1	243	2	3	389	43	1
"4"	7	37	0	9	1	56	8	268	0	14	20	128	4	0	101	3	22	351	29	0
"5"	168	24	18	0	93	155	17	131	0	1	44	41	14	0	70	0	9	221	23	0
"6"	14	71	45	0	66	169	24	266	0	23	20	98	14	3	184	16	25	430	3	45
"7"	22	9	0	32	2	84	0	238	2	3	72	134	1	2	152	0	9	351	12	0
"8"	35	55	1	4	127	188	21	192	0	0	25	29	0	16	102	0	34	437	20	0
"9"	0	167	0	5	83	172	0	412	0	14	94	35	2	5	111	0	41	559	5	6
"10"	29	20	0	26	174	250	1	306	4	30	32	128	0	0	29	50	36	354	3	14
"11"	31	1	8	0	346	252	0	227	0	6	15	72	1	0	130	30	11	273	5	1
"12"	68	34	0	19	147	302	0	335	1	6	40	92	16	4	169	0	4	475	27	35
"13"	76	10	17	5	129	122	0	512	4	50	77	159	0	16	251	14	30	501	22	0
"14"	111	21	0	10	39	141	4	383	3	8	54	147	4	5	161	3	18	453	65	0
"15"	80	3	0	8	36	124	1	400	6	6	13	67	6	2	90	7	3	404	38	13
"16"	5	5	0	121	0	41	0	246	2	1	31	76	23	31	133	8	42	348	42	14
"17"	43	6	1	20	85	182	0	192	2	1	26	146	1	3	129	4	22	248	3	3
"18"	17	94	0	0	73	115	9	259	3	5	20	96	25	0	149	2	34	329	43	16
"19"	51	6	20	19	55	209	1	242	13	0	33	109	3	0	67	8	6	408	52	0
"20"	40	6	0	35	4	140	1	252	0	5	25	102	0	4	153	20	15	329	20	2
"21"	57	51	12	29	36	115	7	583	0	7	60	158	11	4	152	3	28	444	62	1
"22"	112	15	15	14	4	19	2	301	2	3	19	70	1	13	95	12	23	324	40	7
"23"	76	0	18	0	43	98	5	251	0	0	18	80	0	30	97	0	11	327	8	0
"24"	150	0	15	0	5	67	13	487	2	2	27	212	0	41	173	3	9	732	43	4
"25"	139	3	4	37	29	119	1	300	3	1	83	103	8	0	201	0	5	404	32	0
"26"	57	2	0	6	117	211	10	408	10	3	95	162	66	2	211	0	78	478	17	38
"27"	0	140	2	52	12	134	8	495	0	11	20	150	0	27	197	0	25	528	21	2
"28"	87	2	1	156	0	99	0	402	0	23	47	97	14	5	175	0	4	403	28	0
"29"	49	5	12	1	4	64	1	302	5	5	42	42	0	0	86	2	17	373	15	1
"30"	351	0	0	80	5	91	3	438	0	2	44	77	1	3	179	3	101	428	30	3
"31"	10	4	0	152	0	85	1	435	0	3	33	142	8	5	179	0	18	497	8	22
"32"	51	25	4	91	4	124	5	449	0	3	73	170	34	18	260	4	9	614	33	0
"33"	74	34	243	0	9	136	31	321	4	0	43	184	0	19	161	29	42	448	18	11
"34"	218	3	2	2	92	113	6	266	5	8	8	122	6	2	143	0	2	346	41	31
