"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"	"taxa161"	"taxa162"	"taxa163"	"taxa164"	"taxa165"	"taxa166"	"taxa167"	"taxa168"	"taxa169"	"taxa170"	"taxa171"	"taxa172"	"taxa173"	"taxa174"	"taxa175"	"taxa176"	"taxa177"	"taxa178"	"taxa179"	"taxa180"	"taxa181"	"taxa182"	"taxa183"	"taxa184"	"taxa185"	"taxa186"	"taxa187"	"taxa188"	"taxa189"	"taxa190"	"taxa191"	"taxa192"	"taxa193"	"taxa194"	"taxa195"	"taxa196"	"taxa197"	"taxa198"	"taxa199"	"taxa200"	"taxa201"	"taxa202"	"taxa203"	"taxa204"	"taxa205"	"taxa206"	"taxa207"	"taxa208"	"taxa209"	"taxa210"	"taxa211"	"taxa212"	"taxa213"	"taxa214"	"taxa215"	"taxa216"	"taxa217"	"taxa218"	"taxa219"	"taxa220"	"taxa221"	"taxa222"	"taxa223"	"taxa224"	"taxa225"	"taxa226"	"taxa227"	"taxa228"	"taxa229"	"taxa230"	"taxa231"	"taxa232"	"taxa233"	"taxa234"	"taxa235"	"taxa236"	"taxa237"	"taxa238"	"taxa239"	"taxa240"	"taxa241"	"taxa242"	"taxa243"	"taxa244"	"taxa245"	"taxa246"	"taxa247"	"taxa248"	"taxa249"	"taxa250"	"taxa251"	"taxa252"	"taxa253"	"taxa254"	"taxa255"	"taxa256"	"taxa257"	"taxa258"	"taxa259"	"taxa260"	"taxa261"	"taxa262"	"taxa263"	"taxa264"	"taxa265"	"taxa266"	"taxa267"	"taxa268"	"taxa269"	"taxa270"	"taxa271"	"taxa272"	"taxa273"	"taxa274"	"taxa275"	"taxa276"	"taxa277"	"taxa278"	"taxa279"	"taxa280"
"1"	0	0	5	9	0	5	0	0	0	1	26	2	2	0	0	2	0	0	7	20	0	2	0	1	0	12	10	0	0	5	8	0	4	3	0	0	23	2	0	0	13	1	2	8	2	9	0	13	0	0	14	0	1	0	1	0	0	0	0	0	0	0	0	12	0	5	0	26	0	0	0	3	19	0	5	0	6	0	0	22	23	1	0	0	0	2	0	0	0	0	0	1	0	0	14	14	0	0	0	0	0	0	8	15	0	6	0	2	4	22	25	57	1	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	4	5	9	30	0	0	0	6	39	0	0	2	0	2	0	12	0	16	0	19	4	12	39	9	0	0	0	10	13	1	0	4	0	0	0	0	3	0	0	2	7	20	0	0	0	5	3	1	1	0	0	1	1	0	2	0	6	0	3	0	5	0	0	0	0	0	0	0	0	0	2	0	10	0	27	17	0	1	4	29	0	2	0	7	0	4	2	0	0	5	0	0	0	14	0	4	0	0	0	0	2	0	0	12	0	0	0	0	0	5	0	5	0	0	0	27	1	0	0	0	0	2	0	9	0	0	0	0	0	0	0	17	0	4	0	2	0	0	1
"2"	90	0	49	8	0	57	0	13	5	1	25	18	0	0	0	61	0	0	9	0	0	6	0	0	2	0	35	0	0	0	12	0	1	0	3	3	51	8	0	0	46	0	6	0	28	11	0	30	0	0	0	0	0	15	0	19	0	0	9	0	5	0	41	45	0	7	0	1	0	12	0	30	3	0	2	0	10	51	1	64	0	0	0	0	0	1	0	13	0	10	0	0	0	4	5	12	0	0	8	0	0	4	4	36	7	47	0	0	2	2	14	16	2	5	0	4	8	1	3	0	0	2	0	0	0	0	0	2	0	0	19	0	0	0	0	0	10	0	0	0	0	0	0	10	1	0	1	5	0	8	23	0	28	0	7	0	22	0	18	0	1	0	54	18	27	0	0	0	5	0	0	3	71	0	0	0	0	6	0	0	0	0	16	18	10	0	35	13	34	1	1	0	0	16	0	55	17	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	48	6	0	0	9	5	0	19	0	0	0	0	0	0	0	3	0	0	0	12	0	26	0	0	0	0	0	21	0	20	0	6	0	1	0	0	2	0	0	0	12	9	1	0	0	10	6	1	0	44	0	0	2	0	0	0	0	22	0	1	0	33	0	1	0
"3"	24	18	2	61	0	7	4	0	0	6	10	2	12	0	0	20	0	10	15	1	9	12	0	0	16	10	19	0	0	0	38	0	2	3	0	0	24	9	0	1	28	2	4	21	0	2	0	6	0	0	0	0	0	8	0	1	0	0	0	8	0	0	17	39	0	7	4	36	0	0	0	0	46	4	6	0	0	4	7	4	15	0	0	0	0	0	0	6	0	0	7	13	0	5	0	26	17	4	10	0	0	1	25	66	0	25	0	3	1	28	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	9	0	0	0	10	0	11	0	0	0	2	9	1	3	0	0	0	0	18	0	0	0	0	0	13	8	0	0	0	0	0	51	0	12	0	5	3	19	3	25	1	6	2	4	69	0	11	27	0	0	0	0	28	0	0	15	0	6	0	9	0	8	40	13	6	0	0	0	92	0	81	89	0	0	0	0	0	0	23	0	0	0	2	0	0	0	1	0	16	0	8	14	0	0	8	8	0	0	0	17	0	1	0	0	0	12	0	0	0	13	1	4	0	0	0	0	0	27	0	21	4	3	0	7	0	0	0	0	0	0	7	14	12	29	0	0	0	1	0	7	4	0	0	0	0	0	0	20	0	0	0	42	0	0	0
"4"	0	0	48	8	6	12	57	0	0	15	6	12	1	0	0	49	22	0	10	6	0	13	0	0	13	3	16	0	6	6	6	0	1	2	0	0	22	22	0	2	19	1	16	14	4	1	0	3	0	48	1	0	0	7	0	5	3	0	0	0	5	0	15	10	0	4	1	0	0	56	0	10	16	0	5	0	0	22	0	102	0	4	0	0	0	0	0	2	0	0	0	4	0	2	10	23	0	0	1	0	0	0	17	4	2	13	0	1	15	5	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	2	0	0	3	2	0	0	0	1	0	0	0	2	0	0	0	6	16	0	4	0	0	10	37	0	1	1	39	0	14	1	0	0	9	6	38	4	5	0	72	0	2	49	0	0	1	0	0	0	0	21	0	0	0	0	22	0	6	0	3	16	29	7	2	0	18	33	0	29	26	0	0	0	0	0	4	0	0	0	8	0	18	0	0	22	0	9	0	62	22	0	0	2	0	0	11	2	0	0	29	0	0	0	53	0	0	0	17	7	3	17	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	129	8	3	0	0	0	0	0	17	0	0	0	0	1	0	0	5	0	0	0	2	0	1	3
"5"	6	5	8	0	0	28	0	0	3	1	25	2	2	0	31	19	0	1	27	0	0	3	0	0	0	0	4	0	0	0	2	0	0	0	0	0	11	17	0	15	33	0	5	22	0	2	0	11	0	0	0	0	0	7	16	0	0	7	0	0	0	5	13	3	0	16	0	0	0	3	0	17	23	0	12	3	14	0	10	30	12	0	0	0	0	1	0	1	0	0	0	3	0	0	12	11	0	0	0	0	0	0	13	6	4	6	0	1	18	2	8	0	6	0	0	0	0	0	0	0	0	21	0	2	7	0	0	0	1	0	12	7	18	0	0	0	18	13	0	0	0	0	29	5	0	0	0	0	0	22	26	0	0	1	1	0	16	6	21	0	0	6	27	13	6	0	0	5	12	13	0	0	12	0	0	1	0	19	0	0	0	0	3	12	0	0	6	33	25	24	1	1	3	3	0	5	32	0	0	0	0	0	0	0	0	0	5	0	3	0	0	4	6	17	0	20	42	0	15	15	6	0	0	0	1	0	1	0	0	4	2	0	29	0	5	0	0	0	0	0	0	2	8	0	42	0	28	0	0	4	1	0	0	0	0	2	40	0	0	0	1	0	26	0	35	2	1	0	0	0	0	0	0	0	0	0	6	0	2	2
"6"	15	0	14	5	0	6	0	0	0	0	4	5	0	0	0	4	0	2	26	3	0	7	5	0	54	4	9	0	3	0	8	0	1	9	0	2	28	12	0	1	0	0	30	13	0	0	0	9	0	0	0	0	0	14	9	1	4	0	0	0	0	0	0	14	0	10	0	7	0	0	0	5	34	1	5	0	8	0	0	21	7	0	0	0	0	3	0	6	0	0	0	4	0	5	0	10	2	0	0	0	0	0	12	22	0	1	7	6	2	0	2	0	8	0	0	0	0	0	7	0	0	0	31	0	1	3	0	0	0	0	8	1	0	0	0	0	0	0	4	0	0	0	2	15	9	16	7	0	3	15	6	0	0	0	4	0	7	0	35	1	0	1	19	11	2	0	4	3	7	4	0	9	37	0	0	0	0	6	0	0	1	0	0	0	0	0	0	50	5	1	1	0	0	28	1	14	18	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	53	48	0	4	34	6	2	0	2	4	2	0	0	3	0	1	0	0	0	5	0	7	0	0	0	1	0	1	0	23	0	0	0	5	0	0	3	0	0	0	0	13	2	6	0	7	0	0	0	3	0	2	0	0	0	0	0	38	0	0	0	0	0	8	0
"7"	83	0	2	1	0	41	3	0	0	14	3	0	7	0	0	39	0	1	18	18	0	10	0	0	17	15	42	0	0	0	0	0	31	0	3	0	16	7	3	1	37	3	16	0	0	9	0	1	0	0	0	0	0	0	0	0	1	0	2	5	0	0	28	19	0	3	0	0	0	8	17	6	5	0	2	1	22	16	9	19	5	0	0	6	0	3	0	0	0	2	1	1	0	3	15	40	0	1	4	0	0	6	21	2	0	24	0	0	37	0	0	0	1	9	0	7	0	3	4	24	0	0	0	0	0	1	0	0	0	6	0	5	0	0	0	0	8	4	0	0	0	0	0	24	16	0	10	0	0	29	12	1	0	14	33	0	25	0	49	1	0	18	32	36	38	0	0	10	0	10	0	5	45	11	0	0	0	29	0	0	10	0	5	0	1	0	4	38	5	5	9	0	1	60	0	3	1	0	0	29	0	0	0	42	0	0	0	20	0	0	0	0	0	7	0	35	10	0	15	3	11	0	0	1	98	0	0	0	10	0	1	0	0	0	67	0	3	0	0	0	6	0	0	3	10	0	0	0	0	0	4	0	0	0	0	1	14	14	0	0	0	0	0	0	5	11	0	0	0	0	0	0	23	0	0	0	2	0	6	0
"8"	10	9	4	0	2	11	0	0	0	1	6	0	0	0	0	0	0	0	44	0	0	0	0	0	18	0	9	0	1	0	14	5	2	13	0	0	15	2	0	3	21	4	6	6	0	1	0	43	0	0	0	0	0	5	0	1	1	0	0	0	0	1	0	2	0	29	0	4	0	0	0	6	18	0	0	0	20	3	5	18	1	0	0	4	0	0	0	3	0	7	0	23	0	2	1	7	0	0	0	4	0	2	41	6	0	5	1	0	1	0	0	0	34	0	3	0	3	2	13	1	0	2	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	10	25	1	0	0	18	9	0	0	2	0	0	39	10	0	4	0	22	0	68	0	6	8	3	2	23	18	5	1	0	0	18	28	0	0	6	0	0	0	0	27	0	0	0	0	4	8	0	0	0	9	5	12	0	0	0	11	0	19	1	6	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	20	46	7	19	7	2	0	12	1	3	0	0	0	0	0	27	1	0	0	23	0	1	0	0	0	2	14	0	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	14	0	12	0	23	0	1	0
"9"	3	0	1	19	0	33	0	0	0	7	10	2	1	0	0	9	0	0	12	20	0	7	0	0	0	31	21	5	2	0	1	3	0	4	0	0	17	2	0	8	34	5	2	2	3	0	1	21	0	1	0	0	0	0	1	0	9	0	0	0	0	0	0	2	0	25	17	3	0	0	0	4	26	0	16	14	15	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	4	3	30	0	0	0	2	0	2	17	3	3	7	0	4	32	2	0	0	23	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	6	16	0	0	0	0	2	2	0	0	0	0	0	4	12	0	0	0	0	14	91	1	0	0	22	0	17	0	19	3	0	6	26	7	13	0	0	0	0	69	1	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	39	8	11	2	0	0	0	7	0	23	7	0	0	1	0	0	0	12	0	0	0	0	0	4	0	1	0	13	0	61	8	0	20	16	0	0	3	1	6	0	12	0	0	0	0	7	0	0	29	1	0	0	0	0	1	1	9	1	22	0	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	0	0	10	0	4	0	0	0	0	0	1	2	0	0	28	0	0	0
"10"	24	2	0	6	0	43	13	0	0	3	3	0	1	0	0	14	1	0	4	2	1	0	0	0	2	25	4	0	0	0	15	0	0	9	1	0	6	1	0	20	32	0	33	2	0	4	0	9	0	0	0	0	0	0	0	0	11	0	1	50	0	1	0	0	0	2	0	4	0	0	0	15	10	0	6	6	0	0	1	26	22	0	1	0	0	12	0	2	0	0	3	4	0	13	2	32	0	0	0	1	0	6	25	15	0	3	14	12	0	7	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	1	0	0	0	0	0	3	0	12	0	18	0	2	62	6	0	24	0	5	0	20	0	0	0	6	3	9	8	20	0	0	0	2	2	0	0	6	2	0	0	0	27	0	0	0	0	4	1	0	0	10	30	1	6	0	0	16	41	1	48	39	0	0	0	0	0	0	0	0	0	4	1	3	2	0	1	0	10	0	5	73	0	5	0	8	0	0	0	23	1	1	0	0	0	2	1	0	0	22	2	1	0	0	0	0	4	31	0	1	10	0	0	12	0	2	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	2	0	0	0	0	16	10	1	0	0	12	1	3	0
