"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"
"1"	9	0	2	5	0	44	9	0	24	0	14	11	137	12	55	31	18	13	9	11	46	13	28	8	0	4	58	5	6	25	0	16	39	0	1	115	179	26	22	2	1	143	13	80	11	92	209	23	75	0
"2"	238	0	0	0	1	25	1	12	5	1	1	0	49	73	6	76	38	45	0	1	28	9	2	5	0	11	33	1	4	5	12	19	27	1	31	34	58	0	0	4	0	47	0	36	80	20	140	11	141	1
"3"	82	4	0	2	0	50	0	25	40	1	8	7	97	10	31	157	5	3	0	5	1	26	86	1	3	6	84	24	13	64	0	112	64	0	48	197	69	5	0	12	20	98	13	81	112	55	84	5	112	0
"4"	116	0	0	2	1	5	3	7	7	1	51	2	20	20	48	28	12	3	14	9	18	4	12	5	0	1	2	1	7	33	2	50	21	5	2	67	48	3	0	0	0	55	1	45	77	28	117	4	112	11
"5"	60	0	6	5	0	1	1	10	29	8	53	30	26	3	60	108	23	16	10	29	6	18	16	1	0	4	13	2	8	37	0	89	29	16	82	18	197	1	0	3	0	32	0	50	90	19	59	1	53	2
"6"	20	0	3	0	2	27	0	22	65	0	43	4	72	8	87	97	1	19	0	3	11	5	14	7	0	3	3	6	1	63	0	33	38	0	3	40	85	0	3	12	1	45	0	85	26	55	26	8	78	1
"7"	17	0	23	0	0	136	0	23	10	7	5	19	92	20	33	39	4	18	4	24	3	7	8	1	0	1	5	40	13	15	0	13	12	0	16	26	71	0	1	8	0	60	0	20	43	16	76	5	83	0
"8"	221	0	0	0	15	57	0	1	9	6	20	8	42	19	34	150	50	14	2	7	0	20	62	3	0	7	5	8	0	52	0	87	124	22	0	55	152	14	0	1	0	76	22	98	86	38	50	0	141	1
"9"	2	0	9	0	0	6	4	29	16	13	64	1	77	21	13	23	10	31	0	4	15	27	28	0	7	84	51	1	39	58	1	18	101	0	14	112	38	0	0	1	21	94	61	50	105	82	64	0	182	0
"10"	136	0	0	33	0	11	2	33	8	0	14	5	52	75	61	122	18	9	3	58	0	13	55	11	0	5	6	68	4	42	0	19	104	0	46	82	148	4	0	10	13	117	1	47	71	35	174	2	179	15
