"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	126	31	0	109	0	0	6	104	4	33	0	0	20	10	1	3	0	15	2	214	0	4	91	6	0	80	66	0	8	43	15	52	43	16	0	0	17	8	17	8	12	2	0	54	5	116	62	62	0	7	0	0	0	36	2	25	0	0	0	88	66	47	0	0	1	26	8	0	0	0	0	27	4	29	3	11	2	12	17	1
"2"	32	413	1	18	27	11	0	134	0	54	0	0	20	43	8	0	16	9	17	21	2	4	53	40	0	15	66	0	26	42	0	31	3	4	0	0	3	0	24	15	19	0	19	48	9	56	29	17	0	24	0	0	5	68	1	59	0	0	0	44	38	4	0	3	1	9	1	3	6	0	0	28	11	20	0	0	1	15	0	2
"3"	161	18	0	17	13	0	0	25	0	47	0	0	32	17	0	0	1	40	6	90	2	3	93	42	0	0	44	2	8	9	0	26	26	0	1	40	4	1	15	1	13	0	0	36	0	34	16	11	0	6	13	0	31	62	2	64	0	8	1	44	23	4	0	0	11	0	0	0	0	0	0	65	0	14	3	19	0	14	7	0
"4"	187	129	1	0	51	2	17	50	0	21	0	14	59	29	0	15	3	8	14	106	0	1	94	27	0	0	83	0	1	36	2	51	41	9	0	0	33	0	0	0	13	16	0	67	0	46	1	21	0	8	0	3	13	28	11	93	1	2	6	74	7	32	0	0	3	0	2	0	0	0	0	36	11	27	36	40	2	9	0	36
"5"	121	0	5	161	1	62	0	99	4	31	1	5	37	49	0	0	4	9	3	104	10	2	48	21	0	10	108	22	7	44	11	22	89	11	0	20	5	4	18	0	19	2	1	92	7	11	27	25	1	3	0	5	7	30	33	45	0	0	0	92	37	23	0	0	0	0	0	49	0	0	0	15	1	31	0	0	7	44	6	0
"6"	151	17	0	0	28	2	0	54	0	43	2	0	27	39	0	0	15	12	20	23	0	0	22	13	0	3	38	0	24	71	0	32	35	4	0	0	6	10	27	7	0	0	0	32	0	15	11	15	0	8	0	0	8	83	5	15	0	0	0	46	5	5	0	0	14	5	2	0	0	0	0	11	1	20	0	1	5	39	31	0
"7"	89	1	0	108	27	7	8	35	2	36	0	0	75	71	0	0	2	36	16	60	0	2	25	5	1	3	87	5	1	13	17	52	35	4	0	4	6	0	3	1	3	0	0	121	1	26	14	78	0	18	0	0	3	31	14	43	0	0	1	81	72	24	0	0	16	7	0	0	0	0	0	22	0	6	0	8	13	15	0	1
"8"	63	69	0	96	0	0	0	38	2	39	2	0	23	4	0	0	2	18	7	82	1	1	43	24	2	9	83	0	12	9	1	85	69	0	0	2	26	0	23	3	8	0	0	57	0	6	3	11	0	44	0	3	0	34	19	52	0	0	0	33	16	11	0	9	0	7	0	1	2	0	0	26	14	47	16	18	2	17	6	6
"9"	47	57	12	1	76	18	6	124	0	54	0	4	41	57	1	0	0	0	5	63	0	0	26	36	53	0	85	1	17	24	21	43	72	50	0	2	7	0	12	0	8	48	0	45	7	99	31	67	0	9	1	12	2	89	5	40	0	0	0	70	19	0	0	2	0	2	21	15	0	0	0	67	10	3	10	2	10	0	26	3
"10"	19	39	0	21	15	35	14	107	11	50	0	0	99	65	0	0	0	10	56	107	2	2	120	2	0	1	40	0	42	35	18	51	11	18	0	0	7	7	12	1	26	0	0	81	20	37	11	21	4	2	0	0	0	58	0	44	7	1	0	103	37	0	3	19	13	3	0	0	0	0	16	1	2	43	0	8	0	21	2	0
