"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"
"1"	44	13	982	127	220
"2"	235	0	789	1	27
"3"	92	280	385	93	273
"4"	718	5	815	119	207
"5"	0	0	1317	0	0
"6"	499	10	1311	12	150
"7"	4	43	1097	3	53
"8"	179	1	972	139	249
"9"	83	27	1217	30	65
"10"	96	498	737	54	186
"11"	429	242	635	124	259
"12"	112	135	884	165	172
"13"	402	111	745	261	342
"14"	0	278	1430	75	156
"15"	12	1	1059	0	8
"16"	209	74	761	152	124
"17"	733	43	578	272	315
"18"	70	92	1336	242	119
"19"	4	35	820	17	143
"20"	160	111	1028	36	123
"21"	56	361	508	285	291
"22"	588	91	453	275	304
"23"	77	70	821	143	242
"24"	49	85	1195	13	218
"25"	1	18	941	51	158
"26"	114	27	928	32	147
"27"	193	200	1272	110	216
"28"	114	33	880	86	114
"29"	314	37	1052	57	60
"30"	216	260	1069	79	176
"31"	125	23	1077	75	35
"32"	153	22	1649	28	51
"33"	67	12	1696	14	146
"34"	10	20	1203	0	4
"35"	113	22	881	57	194
"36"	60	116	611	60	166
"37"	54	46	1061	36	151
"38"	664	11	485	16	56
"39"	0	67	1328	2	58
"40"	92	47	903	35	88
"41"	186	128	1009	278	304
"42"	264	666	46	125	93
"43"	15	0	1358	9	45
"44"	687	17	241	36	119
"45"	526	138	832	234	243
"46"	588	10	915	54	169
"47"	371	34	226	307	195
"48"	169	42	1133	6	55
"49"	38	41	1092	18	68
"50"	87	0	1342	10	171
"51"	46	73	960	14	165
"52"	276	73	1173	225	205
"53"	231	15	571	155	206
"54"	1	109	1281	22	78
"55"	263	29	929	49	122
"56"	33	74	1129	98	82
"57"	235	30	1237	79	113
"58"	54	189	889	78	180
"59"	168	0	1059	111	201
"60"	192	247	214	238	295
"61"	512	39	226	139	182
"62"	229	332	738	231	309
"63"	63	6	1554	41	162
"64"	0	7	1651	2	33
"65"	51	238	896	138	303
"66"	88	579	974	50	167
"67"	344	25	1085	134	162
"68"	34	10	998	9	14
"69"	233	0	1332	8	75
"70"	145	406	768	99	167
"71"	40	14	1245	21	151
"72"	19	4	1771	19	11
