"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	0	2	25	0	14	0	0	21	26	0	15	2	171	0	0	6	5	0	0	0	10	0	1	17	35	1	11	2	68	21	10	0	0	0	0	12	35	0	3	0	0	0	1	3	3	9	10	3	0	0	1	0	3	22	0	10	11	0	0	0	0	0	17	0	0	25	46	0	2	5	14	0	9	0	3	0	0	0	3	54	67	17	2	31	1	0	126	0	37	51	0	0	0	0	0	6	5	0	37	1	2	2	0	21	85	50	67	57	0	0	61	12	0	0	53	23	4	9	57	44
"2"	20	1	131	4	0	0	17	4	246	0	0	40	84	3	0	0	9	0	0	0	5	0	8	0	19	0	1	35	35	71	1	0	8	0	0	15	3	4	14	0	1	0	8	0	8	5	15	0	0	1	1	1	20	45	3	11	14	1	0	0	0	0	3	34	0	45	4	0	3	1	14	0	15	0	7	0	0	0	0	25	2	24	4	20	8	0	29	0	22	7	0	0	0	10	0	15	5	0	68	16	2	3	0	21	13	38	6	12	0	2	103	6	0	47	12	1	0	22	21	93
"3"	25	0	207	44	0	0	2	16	40	0	0	279	25	63	0	0	1	3	0	0	0	0	10	14	31	4	2	1	0	21	0	0	3	2	0	0	30	0	1	0	0	0	0	25	3	0	23	0	0	0	2	25	1	80	0	5	3	6	0	0	0	0	2	0	20	33	22	0	7	0	72	10	76	0	55	0	0	0	4	15	12	12	17	0	10	0	41	0	33	34	0	0	0	0	1	12	67	0	30	6	0	7	0	82	8	19	5	10	0	0	3	48	0	0	3	9	0	15	71	29
"4"	0	0	26	0	26	0	31	4	7	0	5	5	23	0	0	2	25	0	0	0	32	0	10	1	38	9	0	44	1	35	33	0	0	0	0	3	8	0	0	0	1	0	16	13	39	6	14	0	0	0	2	6	9	7	0	0	52	1	0	0	0	1	18	24	2	5	2	0	13	0	28	1	62	0	9	0	0	0	0	101	21	18	25	58	14	0	11	0	22	16	0	0	1	8	0	3	69	10	31	19	0	8	0	34	24	8	0	31	7	0	21	4	0	0	39	1	6	11	24	10
"5"	0	3	15	0	0	20	20	2	1	0	4	39	23	4	0	0	10	1	0	0	1	0	1	0	19	7	0	7	9	29	2	13	5	0	0	0	11	0	0	0	0	0	5	30	9	26	17	1	0	0	5	0	13	27	0	0	7	5	3	11	0	0	11	3	0	66	0	0	4	0	14	3	71	2	8	0	0	0	0	44	28	1	3	10	23	0	61	0	26	4	0	0	0	0	2	31	6	0	12	2	1	39	0	19	39	24	12	4	2	0	36	2	0	1	24	0	0	1	52	31
"6"	1	0	25	4	0	0	0	7	0	9	83	7	118	0	0	0	27	0	7	0	10	0	1	0	35	0	0	36	37	92	66	0	0	0	2	0	21	0	2	0	17	0	21	3	12	14	1	4	0	0	10	0	0	87	0	0	8	0	6	0	0	1	0	1	0	140	6	1	3	0	12	0	36	10	0	0	0	0	0	77	50	13	3	8	36	0	66	0	4	25	0	0	0	0	0	27	35	0	60	16	3	46	0	42	53	63	14	1	1	0	28	4	0	0	5	23	0	1	59	120
"7"	0	0	784	0	4	8	0	0	38	0	0	16	19	6	0	0	26	1	0	0	0	0	7	0	36	0	10	3	14	5	2	0	0	2	0	0	4	0	0	0	20	0	6	8	8	13	6	0	0	0	1	0	0	5	0	12	0	0	0	0	0	13	13	10	0	31	2	0	19	0	0	0	45	12	0	0	0	0	0	13	35	4	1	4	0	0	32	21	15	7	0	0	0	15	0	2	7	0	31	62	0	7	0	22	38	29	1	3	9	0	12	17	0	0	42	0	3	0	3	20
"8"	13	16	1	0	0	0	0	0	0	10	40	0	133	0	0	2	10	0	0	0	2	0	13	4	66	0	0	8	19	46	8	0	5	9	0	4	6	0	13	0	1	1	19	2	2	11	42	0	0	0	0	4	28	79	0	0	23	0	0	0	0	28	4	0	1	34	27	22	3	2	7	5	32	0	24	0	0	0	7	48	13	1	0	16	18	0	61	0	14	44	0	3	0	5	0	1	18	0	16	0	1	1	0	29	19	44	42	28	1	4	37	26	0	0	36	0	27	9	17	42
"9"	2	7	0	0	7	0	7	6	27	0	3	1	11	14	0	1	14	12	0	2	9	0	35	0	63	0	0	19	50	62	1	0	0	0	43	0	4	0	8	0	18	0	0	0	6	0	8	0	0	0	3	0	0	43	0	20	0	0	0	0	0	0	14	0	0	18	1	7	24	0	28	9	22	5	5	2	0	0	0	45	32	4	3	0	57	0	25	0	34	24	3	9	1	17	1	4	11	0	55	38	0	19	4	16	47	38	45	20	6	2	29	27	0	0	6	0	1	2	36	63
"10"	1	0	42	27	0	0	26	0	0	2	10	49	108	14	0	0	4	0	0	0	8	0	0	0	65	0	0	0	6	53	3	5	0	2	3	4	7	0	0	14	48	0	0	27	17	6	20	0	0	0	5	0	14	38	7	0	5	0	0	0	0	12	1	19	0	69	21	3	4	19	21	7	29	0	0	4	0	0	3	57	80	2	4	39	50	0	35	0	36	53	0	0	11	6	3	26	29	0	69	0	3	6	0	33	13	25	8	18	35	3	121	29	0	0	9	20	0	9	142	62
"11"	5	8	17	2	0	0	5	0	0	95	18	22	7	15	0	0	1	0	0	14	6	0	2	0	23	0	0	4	69	5	2	0	4	0	0	4	26	0	0	0	1	0	2	1	14	21	11	0	0	0	0	0	0	41	1	1	26	1	0	0	4	0	6	0	0	54	4	0	5	7	2	1	34	2	1	0	0	0	0	21	15	2	26	10	11	1	76	11	21	43	0	0	1	0	5	15	32	0	21	15	0	8	0	6	21	30	9	9	0	0	13	40	1	0	16	6	0	1	27	60
