"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"
"1"	8	118	32	5	0	0	15	0	17	0	0	0	28	42	22	31	0	0	9	2	22	2	0	2	0	0	4	0	0	0	1	0	6	0	4	1	0	0	0	0	6	35	6	4	9	0	0	0	36	1	81	8	1	20	27	0	0	0	12	0	0	0	0	22	0	0	49	0	15	72	0	8	7	0	66	0	18	0	1	0	4	0	0	15	0	3	15	0	19	24	11	78	8	0	41	0	3	0	15	5	0	0	0	0	2	1	10	0	60	0	2	18	6	0	37	1	0	1	0	0	0	23	0	27	14	6	1	0	0	29	31	0	28	0	29	41	0	0	9	0	0	0	24	3	78	22	0	27	19	0	0	0	1	0	45	0	0	0	0	0
"2"	0	0	5	0	1	0	0	0	51	9	0	0	39	0	4	0	0	0	0	1	0	8	0	0	22	0	12	0	0	0	5	0	0	1	0	0	3	0	0	3	21	22	0	4	10	0	1	0	14	14	29	0	2	0	17	0	0	0	24	0	2	0	0	78	4	19	28	0	0	47	0	29	1	18	17	0	13	4	0	0	2	0	0	3	0	6	16	1	1	28	15	51	15	0	16	1	2	0	8	4	5	0	1	0	2	1	1	0	1	0	6	51	0	0	11	12	0	12	0	3	0	19	0	0	0	19	12	0	3	20	0	4	24	3	13	12	0	0	0	0	0	0	33	4	50	0	0	4	7	0	0	10	3	0	33	0	2	0	0	0
"3"	0	1	9	0	0	0	0	0	35	0	3	0	1	0	0	0	1	2	0	0	2	5	13	3	16	0	62	0	0	0	3	0	0	0	0	0	9	0	0	9	42	54	23	43	31	0	0	0	27	3	17	0	3	0	17	0	0	0	19	0	0	0	0	10	0	0	43	0	0	24	0	36	16	60	9	0	96	0	0	1	15	28	0	41	0	14	56	0	16	1	38	75	34	4	38	0	0	0	36	3	2	0	1	0	5	0	2	3	14	0	1	13	0	0	0	4	4	10	0	2	0	108	0	0	13	0	33	0	6	18	5	2	19	0	19	12	1	0	3	0	0	0	33	0	31	0	0	5	14	0	9	5	74	0	119	0	0	0	0	0
"4"	0	0	87	0	0	0	0	19	5	0	1	0	27	6	9	0	0	10	46	0	2	0	1	3	7	0	11	1	0	0	0	0	1	1	4	5	0	1	9	0	31	71	0	15	0	2	4	9	6	0	66	1	0	0	25	0	0	2	35	0	0	0	2	6	0	1	30	0	0	52	0	1	8	25	65	0	8	0	4	0	3	0	0	8	0	4	34	16	6	9	5	33	16	0	26	19	14	0	34	19	41	0	8	8	11	55	1	0	11	1	3	18	4	0	13	15	0	2	0	4	0	77	0	3	3	2	57	0	15	110	0	0	10	0	42	24	0	0	42	0	0	0	12	0	49	0	1	0	7	0	38	0	25	0	65	0	4	0	1	0
"5"	0	0	27	0	1	0	0	0	64	0	0	0	2	4	0	12	0	0	0	0	2	2	0	0	1	7	15	4	0	0	2	6	0	14	0	0	39	0	0	0	13	51	12	3	7	0	4	0	0	1	36	2	20	0	19	0	0	1	13	1	0	0	5	43	11	0	5	0	0	38	0	1	7	3	34	3	14	0	0	0	0	0	4	0	2	0	13	0	21	6	0	11	21	1	43	22	4	0	0	3	1	9	0	0	0	0	2	0	15	0	0	35	0	3	0	11	0	0	14	1	0	31	0	1	1	1	3	0	0	41	0	0	19	7	16	18	0	0	0	1	0	0	5	3	47	0	0	0	14	0	20	0	7	0	3	0	0	0	0	0
"6"	0	0	7	11	6	0	0	0	14	3	0	4	12	0	23	4	0	0	1	1	29	6	0	1	3	0	13	1	0	0	2	0	0	0	5	0	0	0	0	0	11	28	2	23	4	0	13	0	5	8	29	2	18	0	3	0	0	0	16	1	0	0	0	3	3	0	35	0	0	13	0	2	0	21	26	4	7	0	1	3	12	0	0	3	0	4	30	0	30	4	8	28	15	0	3	5	3	0	7	11	5	0	0	0	0	0	16	26	0	0	4	11	0	15	1	8	0	1	0	5	0	5	0	6	2	9	5	0	0	51	0	0	18	0	90	37	0	0	8	0	0	0	14	3	22	1	0	0	12	0	0	0	2	0	31	0	3	8	0	0
"7"	0	0	9	0	1	8	0	0	59	0	0	5	0	0	0	0	0	0	0	8	26	6	2	9	23	0	29	0	0	0	1	0	0	3	0	0	0	0	0	6	36	78	0	4	2	0	2	0	15	22	109	0	41	0	31	0	0	20	20	1	34	0	0	40	4	0	3	7	3	9	0	50	8	20	59	2	28	0	1	3	1	24	0	8	0	7	5	1	52	29	10	45	19	0	39	2	16	0	36	19	7	0	0	0	54	14	2	2	39	0	18	7	0	0	8	8	0	1	30	0	0	34	0	1	3	1	38	0	0	17	0	0	21	1	64	45	0	0	1	28	0	0	9	17	74	13	1	1	30	0	1	10	6	22	39	4	19	0	0	0
"8"	0	3	6	0	0	8	0	9	37	0	0	0	49	1	27	1	3	0	0	0	12	3	10	0	2	1	20	0	0	0	16	0	0	1	6	0	1	14	0	6	16	80	0	6	4	0	2	0	14	0	45	7	2	0	22	0	0	0	30	1	8	0	7	16	24	0	19	0	0	7	0	5	23	50	29	0	16	0	40	2	0	0	0	9	0	44	6	1	19	13	30	121	34	0	46	0	8	0	5	47	36	0	1	0	4	0	11	0	27	0	16	10	0	6	0	4	0	0	0	9	0	51	0	0	20	6	55	0	4	23	0	0	46	2	33	6	0	0	2	2	0	2	14	0	46	2	0	7	25	0	5	0	26	0	35	0	0	0	0	0
"9"	0	2	1	0	13	6	0	0	44	1	0	0	0	0	2	0	0	0	11	0	37	0	9	1	0	21	4	6	0	0	54	0	0	1	18	1	0	72	0	0	3	38	0	20	3	0	6	10	0	1	40	17	4	0	11	0	0	0	29	44	0	0	2	7	3	0	13	8	17	40	0	45	3	2	32	0	41	0	33	0	11	7	0	29	0	0	2	0	74	9	17	74	32	0	40	17	0	2	42	33	72	0	4	0	0	0	24	0	43	0	9	9	0	0	1	40	1	15	4	0	0	88	6	1	21	3	4	0	6	8	0	0	15	5	19	53	0	0	0	6	0	1	5	22	7	7	9	2	7	0	1	0	14	0	50	0	0	0	0	9
"10"	1	34	19	5	0	0	64	0	0	0	0	0	133	21	19	1	0	0	1	0	16	0	0	13	15	0	16	0	0	0	1	0	0	0	0	0	3	0	13	0	31	32	0	14	22	0	0	0	0	5	40	0	13	1	36	0	0	0	15	6	0	0	0	11	0	0	32	0	0	44	0	66	20	18	61	0	63	1	3	0	0	0	0	30	0	12	12	0	35	11	1	79	51	0	70	0	67	0	14	13	3	0	0	0	19	0	2	5	5	0	14	58	0	0	0	7	0	3	0	21	0	29	0	2	11	7	11	0	1	7	0	0	23	0	15	14	0	0	0	5	0	0	38	28	60	2	0	21	18	0	1	0	28	0	35	0	0	0	0	0
