"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"1"	24	129	13	0	0	6	99	117	43	20	206	48	43	0	55	4	42	299	8	9
"2"	2	80	26	35	0	34	173	107	29	0	133	17	11	2	35	24	19	278	13	24
"3"	0	616	20	0	37	21	194	214	23	39	250	56	41	4	49	82	18	245	0	5
"4"	36	42	4	29	9	0	122	244	56	37	136	56	63	0	38	20	15	281	1	65
"5"	38	227	2	0	139	13	99	87	14	1	51	61	67	0	23	44	18	183	34	6
"6"	0	242	10	0	56	16	83	87	34	0	98	41	25	10	46	6	6	283	0	37
"7"	20	223	2	0	4	14	89	142	70	1	117	54	50	12	96	13	8	256	0	13
"8"	4	563	11	0	81	4	96	92	30	5	220	16	6	0	53	24	7	642	23	25
"9"	9	325	19	0	41	2	48	127	34	3	158	33	12	0	29	75	4	144	0	7
"10"	29	169	9	0	20	11	112	180	24	6	82	21	0	0	18	75	4	384	4	25
"11"	64	267	1	0	35	41	93	132	89	50	154	36	3	0	83	84	49	386	28	66
"12"	194	119	0	27	35	27	147	220	89	0	168	27	8	0	38	18	134	465	7	68
"13"	8	86	2	5	16	15	140	116	71	22	296	78	90	7	203	29	15	730	9	60
"14"	13	4	45	1	61	4	98	108	21	3	254	65	59	4	33	37	28	362	24	23
"15"	112	201	0	27	15	19	125	291	40	1	225	95	52	16	73	21	39	436	2	7
"16"	9	237	16	8	5	19	203	234	120	18	247	55	20	0	62	25	15	381	4	90
"17"	3	79	2	16	9	0	139	124	63	0	111	56	41	11	46	16	16	304	0	15
"18"	13	238	4	3	26	12	120	201	151	5	152	56	35	5	62	25	105	569	6	63
"19"	15	263	0	132	0	0	66	62	10	11	94	36	4	1	51	23	17	222	8	49
"20"	112	52	0	143	22	22	148	234	54	0	143	37	81	7	125	96	39	397	52	31
"21"	34	365	25	1	54	7	144	148	104	14	201	67	20	0	68	14	16	463	41	18
"22"	14	69	45	11	265	8	127	212	61	0	188	134	45	0	74	56	25	423	30	71
"23"	2	54	17	8	23	7	239	202	60	0	143	72	92	17	40	49	32	389	8	18
"24"	33	951	0	0	0	0	28	34	8	2	34	13	0	0	14	1	18	62	0	16
"25"	32	423	37	0	66	8	158	150	167	0	112	36	15	4	123	22	59	398	3	32
"26"	39	245	3	3	3	29	71	109	54	1	146	60	19	1	24	4	9	393	11	8
"27"	16	360	6	57	0	0	134	175	73	16	119	54	14	3	59	22	100	481	36	37
"28"	35	523	5	0	86	2	18	67	35	0	90	38	21	1	5	6	20	184	2	2
"29"	14	408	0	0	127	39	127	98	113	5	154	89	19	0	39	56	18	515	15	40
"30"	5	209	20	0	14	9	113	97	47	37	151	47	3	0	25	5	30	201	33	34
"31"	16	207	39	60	0	1	85	235	68	1	272	137	20	0	98	51	59	315	14	55
"32"	3	322	40	0	59	21	148	68	58	0	204	34	31	27	91	96	25	510	21	99
"33"	1	283	1	92	0	0	94	118	31	0	76	35	9	0	91	109	29	345	4	64
"34"	12	767	0	0	71	5	31	23	25	0	81	22	9	0	0	15	2	144	3	0
"35"	29	589	14	37	0	14	82	119	97	0	114	85	20	30	101	18	9	419	30	83
"36"	233	23	0	61	42	26	164	207	97	24	240	77	33	0	41	40	28	619	14	28
"37"	1	11	19	7	16	12	153	122	159	19	204	57	34	14	47	32	22	371	6	41
"38"	8	103	9	0	53	19	67	100	39	1	207	37	12	0	93	18	86	353	17	35
"39"	5	37	19	7	21	19	202	170	80	12	173	37	86	5	79	28	75	638	14	59
"40"	15	151	21	4	4	10	139	170	58	15	158	41	21	0	26	32	21	412	11	20
"41"	13	321	21	0	191	6	136	165	44	0	173	41	9	0	48	18	78	302	13	10
"42"	63	526	4	0	4	20	99	151	108	1	232	17	63	0	48	12	33	488	3	26
"43"	59	130	44	4	9	8	201	172	38	28	228	83	18	1	45	46	42	412	21	115
"44"	14	202	10	0	58	20	101	89	45	15	150	34	55	0	38	58	40	406	1	20
"45"	2	471	12	0	62	8	81	93	8	4	175	11	14	0	31	16	42	209	5	28
"46"	14	200	1	0	27	32	92	79	20	6	120	41	34	3	44	6	20	296	17	19
"47"	57	264	10	0	9	1	61	144	44	12	109	46	6	3	27	20	32	257	19	53
"48"	25	194	11	4	8	14	65	159	66	2	93	41	34	13	38	10	12	256	12	4
"49"	174	375	0	10	0	5	107	77	19	9	143	11	59	4	37	10	10	230	0	4
"50"	15	44	22	116	0	8	178	227	105	0	116	56	46	12	106	50	59	435	12	60
"51"	1	138	10	9	4	7	91	100	23	0	90	70	20	0	64	15	36	304	17	13
"52"	48	370	0	0	15	10	64	55	19	0	110	51	8	0	18	24	3	196	8	1
"53"	14	198	0	0	103	51	107	105	17	0	145	14	14	1	25	6	50	328	7	93
"54"	125	367	1	3	4	11	135	130	31	5	169	47	49	1	120	83	36	291	8	1
"55"	0	122	29	24	16	7	92	188	77	5	248	31	87	23	131	19	49	492	11	21
"56"	3	38	0	4	69	14	96	86	45	3	246	84	20	0	58	6	31	265	5	78
"57"	3	344	4	0	21	11	239	240	34	10	111	49	61	3	41	18	33	419	16	26
"58"	30	186	0	26	6	17	129	147	95	21	152	101	17	0	56	46	23	552	24	5
"59"	8	126	10	1	66	68	141	122	39	29	211	58	63	3	59	72	33	657	0	53
"60"	9	279	2	0	9	21	81	298	177	17	140	29	23	10	29	47	77	546	14	37
"61"	9	225	6	0	45	0	122	228	107	10	143	30	31	0	160	103	38	427	13	66
"62"	0	188	18	1	5	39	110	285	91	13	182	36	56	0	38	67	43	527	10	25
"63"	0	501	17	9	0	2	113	109	34	3	141	28	34	7	29	11	0	317	30	13
"64"	4	748	0	0	0	0	46	105	20	8	125	36	0	0	34	1	14	350	1	1
"65"	50	199	0	0	127	30	187	309	45	8	112	57	79	2	26	34	23	614	28	22
"66"	0	133	5	0	27	4	136	189	78	1	300	40	23	9	44	42	103	390	17	45
"67"	38	78	0	2	3	3	81	172	50	2	258	82	96	6	141	28	45	578	61	73
"68"	44	46	3	16	34	0	142	137	41	4	146	80	38	3	48	8	17	309	16	34
"69"	17	178	0	0	3	12	92	139	54	1	189	42	55	5	33	52	35	322	9	55
"70"	4	226	16	0	2	1	63	119	12	9	159	49	59	8	41	31	8	187	0	13
"71"	0	242	0	2	4	6	174	133	61	0	106	40	55	0	66	49	131	502	14	11
"72"	6	698	7	0	0	3	90	117	53	3	68	47	12	9	5	35	6	206	1	18
"73"	240	254	0	1	17	29	92	146	27	10	303	86	9	8	117	52	67	458	7	36
"74"	67	336	0	0	23	14	87	147	45	10	158	8	65	1	68	21	55	304	2	138
"75"	5	853	4	0	3	3	108	135	34	0	126	37	10	9	47	31	9	308	14	4
"76"	48	202	0	11	5	24	197	204	78	2	144	35	30	2	18	10	38	335	7	11
"77"	119	685	0	3	0	5	182	144	66	3	121	17	9	0	27	27	25	262	1	7
"78"	5	549	0	9	0	2	126	123	12	3	163	28	15	13	64	26	23	198	48	17
"79"	9	90	1	119	0	2	167	243	59	3	133	71	24	5	83	42	15	575	26	40
"80"	110	448	4	2	7	17	114	113	107	29	180	163	13	5	30	35	34	375	21	5
"81"	36	285	1	19	2	16	111	155	90	0	79	51	33	4	25	38	58	284	6	26
"82"	7	35	2	40	11	12	104	177	43	11	207	37	1	0	68	20	10	256	53	31
"83"	9	366	8	3	0	33	130	206	69	1	120	28	29	0	32	40	17	253	2	11
"84"	3	15	0	169	0	2	110	143	57	1	84	43	23	0	36	16	45	310	17	11
"85"	10	63	34	37	1	0	183	200	19	53	224	103	118	4	62	23	27	399	16	149
"86"	17	1437	0	0	0	10	16	2	3	0	29	13	0	6	28	11	14	67	0	7
"87"	33	122	0	3	58	23	87	90	39	14	154	66	20	0	51	45	14	317	1	36
"88"	4	299	69	0	281	3	99	133	59	20	280	21	28	1	42	15	23	415	3	3
"89"	47	349	0	0	106	20	40	88	57	22	102	96	42	3	96	3	40	303	9	5
"90"	75	295	60	33	22	11	219	169	76	5	169	42	81	0	47	4	35	368	0	17
"91"	44	617	24	0	157	36	23	58	0	5	15	22	17	0	9	4	21	102	0	11
"92"	20	259	1	0	67	3	127	142	31	27	150	115	71	1	72	31	28	412	0	76
"93"	2	8	16	0	263	89	119	137	38	1	159	30	18	8	38	16	42	418	20	12
"94"	24	148	0	14	0	5	74	120	45	7	121	63	34	1	34	15	15	383	28	15
"95"	7	235	3	9	12	28	102	166	65	3	74	50	19	0	48	11	23	273	14	17
"96"	43	774	1	8	0	6	63	130	25	18	117	25	2	1	4	9	15	97	28	9
"97"	5	179	11	44	23	2	176	180	85	29	208	102	46	1	31	14	19	436	50	109
"98"	413	313	0	10	20	13	52	138	28	0	129	41	12	1	37	48	26	289	5	19
"99"	1	268	5	4	3	18	170	167	34	2	76	29	11	0	39	10	34	273	5	52
"100"	95	196	18	1	3	27	111	157	115	1	230	68	39	0	106	48	41	607	34	98
