"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"	"taxa161"	"taxa162"	"taxa163"	"taxa164"	"taxa165"	"taxa166"	"taxa167"	"taxa168"	"taxa169"	"taxa170"	"taxa171"	"taxa172"	"taxa173"	"taxa174"	"taxa175"	"taxa176"	"taxa177"	"taxa178"	"taxa179"	"taxa180"	"taxa181"	"taxa182"	"taxa183"	"taxa184"	"taxa185"	"taxa186"	"taxa187"	"taxa188"	"taxa189"	"taxa190"	"taxa191"	"taxa192"	"taxa193"	"taxa194"	"taxa195"	"taxa196"	"taxa197"	"taxa198"	"taxa199"	"taxa200"	"taxa201"	"taxa202"	"taxa203"	"taxa204"	"taxa205"	"taxa206"	"taxa207"	"taxa208"	"taxa209"	"taxa210"	"taxa211"	"taxa212"	"taxa213"	"taxa214"	"taxa215"	"taxa216"	"taxa217"	"taxa218"	"taxa219"	"taxa220"	"taxa221"	"taxa222"	"taxa223"	"taxa224"	"taxa225"	"taxa226"	"taxa227"	"taxa228"	"taxa229"	"taxa230"	"taxa231"	"taxa232"	"taxa233"	"taxa234"	"taxa235"	"taxa236"	"taxa237"	"taxa238"	"taxa239"	"taxa240"	"taxa241"	"taxa242"	"taxa243"	"taxa244"	"taxa245"	"taxa246"	"taxa247"	"taxa248"	"taxa249"	"taxa250"	"taxa251"	"taxa252"	"taxa253"	"taxa254"	"taxa255"	"taxa256"	"taxa257"	"taxa258"	"taxa259"	"taxa260"	"taxa261"	"taxa262"	"taxa263"	"taxa264"	"taxa265"	"taxa266"	"taxa267"	"taxa268"	"taxa269"	"taxa270"	"taxa271"	"taxa272"	"taxa273"	"taxa274"	"taxa275"	"taxa276"	"taxa277"	"taxa278"	"taxa279"	"taxa280"
"1"	0	0	0	0	0	0	0	0	0	51	0	0	0	22	4	15	3	0	0	0	12	2	30	0	17	0	0	4	0	0	19	0	0	2	0	0	2	30	0	4	3	0	4	5	2	0	0	0	9	0	8	0	0	3	0	4	0	1	1	1	3	0	0	0	5	21	0	1	58	0	0	0	0	27	8	0	19	0	2	0	0	0	38	0	0	0	0	1	0	0	0	7	13	1	2	2	19	0	2	19	9	12	0	42	19	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	11	0	6	4	0	0	0	1	0	1	0	0	42	0	0	0	0	0	12	6	0	0	3	0	9	3	0	5	4	8	0	0	5	3	0	1	0	25	2	12	1	0	20	12	0	1	3	2	0	0	0	0	0	0	0	23	0	9	0	8	0	2	0	0	34	4	1	3	0	4	0	0	5	8	0	0	0	15	17	0	3	0	0	0	4	0	63	0	0	2	0	0	1	2	0	0	1	0	32	0	0	0	0	48	0	3	0	93	7	1	0	0	0	0	0	0	0	0	61	0	0	0	0	45	0	34	0	2	0	0	0	0	0	10	1	14	1	0	18	4	0	14	0	2	0	0	10	0	2	19	1	28	6	0	24	0	26	0	11
"2"	21	0	0	0	0	3	0	1	0	13	0	0	0	11	13	10	0	0	0	0	9	0	16	0	31	0	0	3	0	0	12	1	0	2	0	4	43	11	0	0	0	2	3	8	0	0	0	0	7	0	2	0	2	13	0	0	1	0	0	12	0	0	1	0	4	1	1	0	25	0	1	0	0	1	4	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	0	7	6	2	28	0	0	3	2	14	1	0	69	1	0	0	0	1	0	0	0	3	9	0	0	2	6	0	6	4	1	0	0	29	0	19	1	0	0	0	0	30	10	0	0	0	0	8	10	0	0	3	0	8	0	1	5	35	3	0	0	0	0	0	0	0	28	1	1	1	4	2	27	0	25	5	0	2	2	4	0	0	0	0	12	0	12	0	20	1	0	0	0	6	9	0	0	0	54	0	0	16	17	0	0	0	34	2	0	0	0	0	3	1	0	9	0	0	0	0	0	8	16	0	0	1	0	20	0	1	0	0	14	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	10	9	7	0	6	2	0	1	0	0	0	0	0	0	3	0	10	1	1	0	1	0	4	13	0	14	0	0	1	1	0	7	0	1	0	8
"3"	1	0	0	71	0	4	0	3	34	87	0	1	0	5	2	8	0	0	0	0	5	0	0	0	0	0	0	0	22	0	3	0	1	22	0	6	54	7	1	1	0	0	0	24	1	0	0	0	9	0	2	0	0	3	6	0	0	0	0	0	0	0	0	0	1	43	10	0	13	0	0	11	4	7	0	0	35	0	0	0	0	7	0	0	0	0	5	2	0	0	0	27	1	14	0	0	1	0	0	11	15	29	0	52	57	0	0	0	0	0	0	0	9	0	0	0	0	19	0	0	19	1	0	0	0	0	0	1	0	0	1	0	29	0	1	0	0	0	0	15	29	0	0	1	0	13	0	0	45	0	82	11	0	5	0	0	0	0	5	42	9	0	1	109	16	0	1	9	6	3	6	13	1	0	11	0	0	0	6	0	5	0	0	0	0	17	4	2	0	0	6	0	0	4	27	0	0	0	0	40	0	5	0	0	0	1	0	1	7	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	32	6	0	0	28	0	2	1	0	0	9	0	0	43	0	0	8	0	0	18	51	1	21	0	45	7	0	0	0	10	0	4	15	0	0	0	6	3	0	0	5	0	0	39	0	4	0	12	2	6	0	2	0	6	0	3
"4"	23	0	0	2	0	7	0	0	0	20	0	0	0	5	0	8	0	0	0	3	28	14	0	7	7	0	0	0	1	0	0	0	0	9	0	1	7	43	1	2	1	0	7	15	11	0	3	0	13	0	12	0	1	0	0	0	0	0	4	15	0	5	0	0	9	22	0	0	8	0	0	0	1	3	0	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	5	8	2	13	0	0	0	0	0	7	0	6	0	1	16	0	0	0	1	0	0	0	0	5	0	4	0	13	0	0	20	5	0	1	0	0	0	0	24	0	0	0	0	33	0	0	0	0	0	71	23	3	0	6	0	8	27	0	4	1	6	0	0	9	0	0	0	0	11	12	16	0	18	42	29	0	29	16	0	0	0	7	0	0	0	0	34	0	2	0	0	3	0	0	3	50	21	1	1	0	1	0	0	42	4	0	0	0	5	20	0	0	0	0	0	9	2	42	5	0	0	15	0	2	2	0	0	0	0	2	0	0	0	1	1	0	7	0	24	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	40	1	8	0	139	8	0	0	0	1	11	0	15	0	0	65	1	7	2	0	11	0	0	3	3	10	0	12	1	14	0	19	0	36	0	3
"5"	6	0	0	132	0	0	0	0	0	8	0	0	0	1	0	30	0	0	0	28	13	4	0	11	20	0	0	20	1	0	0	0	0	0	0	1	24	3	0	5	1	0	6	27	3	4	0	3	2	0	3	0	14	2	0	0	0	0	0	0	0	0	3	0	22	18	25	0	28	0	0	0	4	3	0	1	25	0	0	0	0	0	0	0	0	0	0	0	9	0	0	48	23	0	0	6	41	0	0	0	37	71	10	0	1	0	0	0	0	0	1	0	0	0	4	0	0	5	7	0	1	5	0	0	16	3	0	0	18	0	0	0	5	28	2	0	2	0	0	7	9	0	0	18	0	3	3	0	8	3	6	0	0	0	0	0	0	0	9	16	11	0	0	17	31	0	0	4	19	0	0	3	3	0	0	0	22	0	0	12	3	0	0	0	0	18	21	0	0	0	1	0	0	2	39	0	0	4	4	19	0	0	0	0	0	3	12	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	6	19	0	9	0	15	20	16	1	0	0	0	0	0	0	0	10	2	36	0	0	21	47	24	0	9	8	0	0	0	1	21	0	11	4	26	0	14	2	43	0	1	0	2	2	0	2	7	29	0	0	0	16	0	0	0	5
"6"	0	0	2	0	1	2	4	12	0	23	0	0	0	4	5	27	0	0	0	0	31	13	0	6	0	1	0	0	5	0	0	0	0	3	1	18	1	16	0	0	0	0	21	1	14	6	0	0	0	8	17	0	2	0	0	0	0	0	0	1	4	0	0	0	15	55	1	0	1	0	0	0	0	5	0	0	29	0	0	0	0	0	0	5	0	0	0	12	0	0	1	21	4	4	0	1	40	0	0	0	3	31	3	17	23	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	25	53	0	0	1	0	2	0	6	0	0	0	6	17	14	0	0	0	0	20	4	0	0	29	0	2	2	0	51	2	5	9	0	28	0	0	0	0	14	54	0	0	0	13	13	0	4	13	0	1	0	9	1	0	0	0	2	0	0	0	8	0	2	0	0	8	25	0	14	0	13	6	0	4	26	0	0	0	16	38	0	0	0	11	0	11	5	35	0	0	3	1	2	7	0	0	12	0	0	76	0	0	2	1	1	0	0	0	9	0	1	4	0	0	1	0	0	0	0	2	0	12	0	7	5	0	31	0	26	2	0	0	0	2	13	3	4	2	8	1	12	21	0	0	19	0	0	3	0	0	0	4	43	43	0	7	3	8	0	18
"7"	0	5	0	0	2	16	0	0	1	20	0	0	0	10	23	30	0	0	0	2	9	0	0	1	36	0	1	9	0	0	0	0	4	13	0	0	7	29	0	1	15	0	2	7	0	4	2	0	19	0	22	0	4	0	19	0	0	0	0	2	1	0	0	0	0	65	0	0	11	1	0	0	0	4	0	0	21	0	0	0	0	0	10	0	2	0	0	0	2	0	0	28	0	8	0	0	12	0	0	3	12	13	0	21	54	0	0	0	0	0	0	0	0	0	1	0	0	18	12	0	15	17	0	15	0	0	0	0	14	0	0	72	0	13	9	0	0	0	0	4	7	0	0	8	0	2	14	0	3	0	39	0	0	6	0	0	0	0	5	2	3	0	14	36	26	0	0	0	10	0	0	17	0	0	0	0	4	0	20	0	3	0	0	0	0	13	21	0	0	0	27	0	0	13	50	0	0	0	1	3	0	0	0	0	0	10	0	8	0	0	0	2	0	6	1	0	0	0	0	3	0	0	0	0	10	0	5	0	9	3	0	1	0	2	1	0	0	0	4	0	0	0	0	5	5	2	7	0	17	3	4	0	0	4	6	50	18	1	0	0	0	1	1	0	0	0	5	1	0	2	0	4	4	0	0	59	0	2	0	0
"8"	0	0	0	4	0	1	2	0	4	42	0	0	1	29	8	44	0	8	0	0	4	4	0	0	6	0	0	1	0	0	0	0	0	10	1	2	13	9	0	4	0	0	8	4	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	7	12	0	0	1	0	0	0	0	1	0	0	21	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	6	14	0	1	3	0	0	1	0	16	0	0	17	0	0	0	0	0	7	0	0	0	1	0	0	6	2	0	7	32	0	0	0	1	0	2	18	18	0	0	16	19	11	0	0	0	0	6	11	0	0	0	0	3	1	4	17	0	26	0	0	8	0	0	0	0	26	11	5	1	1	11	1	0	2	29	0	0	0	0	3	0	0	0	8	0	14	1	4	0	0	0	0	12	6	0	0	0	3	0	0	11	0	0	0	0	18	10	0	0	0	0	0	8	0	8	0	0	15	20	0	0	0	0	0	0	0	1	0	0	0	0	15	0	1	0	70	3	4	1	0	0	2	0	0	0	0	8	0	0	0	18	20	43	9	2	7	1	0	0	0	0	0	6	4	0	38	0	0	1	0	0	0	0	0	2	0	3	0	3	3	7	0	1	0	0	0	0
"9"	3	0	0	0	0	5	0	0	14	1	0	0	0	0	1	43	0	4	0	0	19	2	0	0	0	0	20	13	0	0	15	0	0	24	0	0	7	31	0	4	0	0	43	18	0	2	0	29	0	0	4	0	17	0	0	0	27	6	0	0	2	0	7	0	2	5	0	0	40	0	0	1	0	6	8	0	11	0	0	0	0	0	0	14	18	0	1	0	0	0	0	18	5	0	0	0	11	0	0	10	2	31	3	18	7	0	0	0	0	0	0	0	0	0	1	3	0	18	0	0	16	15	0	0	0	10	0	2	9	0	0	0	0	28	5	0	0	0	0	6	22	3	0	14	0	0	1	0	13	0	39	0	0	2	0	0	0	0	63	11	5	0	3	17	14	0	2	1	0	0	5	0	2	1	0	0	9	0	12	0	55	0	9	0	0	48	20	0	0	0	0	57	0	15	21	0	0	0	1	45	5	0	0	0	3	3	0	60	0	0	0	38	0	38	0	0	0	0	0	0	0	0	0	0	7	15	1	0	85	0	9	6	0	0	0	0	0	0	0	0	0	0	0	50	19	18	15	0	27	0	0	0	0	1	9	2	11	1	0	1	7	3	1	0	3	0	30	0	0	10	0	1	0	9	0	23	0	0	0	3
"10"	3	6	0	1	1	3	0	0	0	25	0	0	0	26	2	31	0	0	0	0	21	4	0	0	4	0	0	2	14	0	0	0	0	14	0	5	19	3	0	5	0	0	12	8	0	0	0	0	31	0	0	0	5	3	0	0	0	3	0	1	2	0	0	0	2	3	2	1	0	0	0	0	10	1	0	0	10	0	7	0	0	1	17	2	1	2	0	0	0	0	0	2	2	4	0	1	23	0	0	20	1	0	26	0	4	0	0	0	0	0	0	0	0	0	8	0	0	12	10	0	0	4	0	8	0	1	6	0	5	0	4	0	2	17	0	11	0	0	4	16	44	0	0	1	0	0	0	43	1	7	14	0	0	0	0	28	0	0	31	5	3	0	10	7	6	0	10	1	14	0	0	0	0	0	0	0	9	0	11	0	12	0	0	0	0	26	71	1	0	0	0	0	0	20	13	0	0	0	5	14	0	0	0	0	0	15	0	43	3	0	0	2	3	0	0	0	0	0	0	2	0	0	2	0	12	0	1	0	9	10	1	0	0	0	1	0	0	0	0	0	0	0	3	13	29	2	12	0	10	0	0	0	0	28	0	1	2	0	0	2	6	2	1	0	0	0	0	0	0	9	0	2	6	5	0	4	0	3	0	0
