"covariate1"	"covariate2"	"covariate3"	"covariate4"	"covariate5"	"covariate6"	"covariate7"	"covariate8"	"covariate9"	"covariate10"
"taxa1"	-0.875	0	0	0	0	0	0	0	0	0
"taxa2"	1	0	0	0.75	0	0	0	0	0	0
"taxa3"	0.75	0	0	-0.875	0	0	1	0	0	0
"taxa4"	-0.625	0	0	0.5	0	0	-0.875	0	0	0
"taxa5"	0.5	0	0.5	1	0	0	-0.625	0	0	0
"taxa6"	0	0	1	-0.625	0	0	0.5	0	0	0
"taxa7"	0	0	-0.625	0	0	0	0.75	0	0	0
"taxa8"	0	0	0.75	0	0	0	0	0	0	0
"taxa9"	0	0	-0.875	0	0	0	0	0	0	0
"taxa10"	0	0	0	0	0	0	0	0	0	0
"taxa11"	0	0	0	0	0	0	0	0	0	0
"taxa12"	0	0	0	0	0	0	0	0	0	0
"taxa13"	0	0	0	0	0	0	0	0	0	0
"taxa14"	0	0	0	0	0	0	0	0	0	0
"taxa15"	0	0	0	0	0	0	0	0	0	0
"taxa16"	0	0	0	0	0	0	0	0	0	0
"taxa17"	0	0	0	0	0	0	0	0	0	0
"taxa18"	0	0	0	0	0	0	0	0	0	0
"taxa19"	0	0	0	0	0	0	0	0	0	0
"taxa20"	0	0	0	0	0	0	0	0	0	0
"taxa21"	0	0	0	0	0	0	0	0	0	0
"taxa22"	0	0	0	0	0	0	0	0	0	0
"taxa23"	0	0	0	0	0	0	0	0	0	0
"taxa24"	0	0	0	0	0	0	0	0	0	0
"taxa25"	0	0	0	0	0	0	0	0	0	0
"taxa26"	0	0	0	0	0	0	0	0	0	0
"taxa27"	0	0	0	0	0	0	0	0	0	0
"taxa28"	0	0	0	0	0	0	0	0	0	0
"taxa29"	0	0	0	0	0	0	0	0	0	0
"taxa30"	0	0	0	0	0	0	0	0	0	0
"taxa31"	0	0	0	0	0	0	0	0	0	0
"taxa32"	0	0	0	0	0	0	0	0	0	0
"taxa33"	0	0	0	0	0	0	0	0	0	0
"taxa34"	0	0	0	0	0	0	0	0	0	0
"taxa35"	0	0	0	0	0	0	0	0	0	0
"taxa36"	0	0	0	0	0	0	0	0	0	0
"taxa37"	0	0	0	0	0	0	0	0	0	0
"taxa38"	0	0	0	0	0	0	0	0	0	0
"taxa39"	0	0	0	0	0	0	0	0	0	0
"taxa40"	0	0	0	0	0	0	0	0	0	0
