"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	34	0	16	10	249	103	25	0	36	0	12	17	38	71	72	17	58	8	0	3	0	143	17	61	0	4	26	0	20	2	96	1	4	0	0	50	94	0	2	11
"2"	10	50	509	0	17	2	0	35	276	0	0	34	25	83	29	3	57	12	0	0	0	89	0	63	2	1	64	0	0	48	23	0	19	0	0	153	120	0	3	3
"3"	60	0	73	12	92	477	7	4	28	0	1	40	43	68	30	9	63	1	1	3	0	148	0	71	1	11	49	2	6	18	88	0	17	0	0	41	58	0	0	9
"4"	27	5	79	0	496	72	37	20	46	0	39	25	31	49	78	16	81	1	7	5	0	60	1	62	14	6	83	0	0	6	104	2	4	0	0	42	94	1	0	10
"5"	21	0	122	1	262	13	1	5	71	16	10	12	124	134	34	6	28	2	0	11	32	119	0	36	1	17	45	0	2	37	124	2	32	0	0	68	86	0	0	9
"6"	4	1	542	0	32	73	110	0	52	0	21	41	116	57	43	5	45	27	3	0	0	84	0	75	0	1	73	5	4	0	50	3	0	0	0	56	89	1	0	7
"7"	53	3	14	3	80	2	10	0	203	0	6	11	94	129	43	32	21	10	2	6	0	72	0	128	0	54	151	0	0	4	104	0	30	0	0	99	81	1	0	46
"8"	4	1	540	0	22	62	0	0	67	0	15	8	57	39	80	17	25	2	0	0	0	68	0	171	0	1	13	5	26	24	123	0	2	0	0	49	47	0	0	15
"9"	53	0	0	0	765	77	0	0	22	0	0	16	65	47	50	1	31	18	2	0	0	53	0	18	0	17	21	0	0	3	73	0	8	0	0	53	67	0	0	15
"10"	47	0	55	0	222	8	0	0	140	0	4	0	41	45	54	4	82	43	0	0	1	130	1	26	0	4	65	0	0	5	114	0	6	0	0	51	79	0	0	3
"11"	58	2	99	7	5	0	0	1	371	0	38	8	51	133	56	67	13	7	2	25	0	91	1	122	0	20	53	10	0	29	100	22	13	0	2	69	117	12	0	73
"12"	51	0	69	0	48	43	11	38	212	0	18	47	94	114	66	27	87	0	0	17	0	63	10	99	2	18	114	0	3	47	147	0	20	0	0	98	45	0	0	12
"13"	3	0	224	1	1	174	159	0	21	3	22	30	89	73	23	20	59	9	0	15	0	53	0	41	7	1	39	0	0	3	81	0	32	14	0	72	70	0	1	20
"14"	8	5	183	0	24	92	17	0	31	0	2	41	72	51	29	1	48	24	0	3	0	80	0	44	0	8	137	0	20	17	79	0	0	0	5	123	38	0	0	14
"15"	9	8	39	0	66	475	2	0	53	12	0	53	68	51	102	0	66	2	1	0	0	24	0	79	5	0	54	0	0	7	65	0	18	0	0	34	54	7	0	7
"16"	86	1	3	15	137	439	7	0	91	0	22	12	38	150	52	18	46	23	4	10	0	110	0	39	1	2	114	0	0	2	94	0	34	0	0	79	82	0	0	10
"17"	4	27	36	0	44	25	8	1	48	0	8	45	43	41	50	39	27	13	4	1	0	39	6	93	0	2	116	0	1	8	75	0	19	0	0	128	106	2	0	10
"18"	3	0	184	6	4	160	9	0	45	0	0	1	40	158	71	25	44	21	0	29	0	124	10	12	0	12	73	10	0	5	106	0	12	0	0	53	65	0	0	46
"19"	44	3	45	0	73	32	7	0	57	16	12	23	51	73	11	2	116	6	2	6	0	50	0	54	16	5	23	0	0	13	138	1	7	0	17	132	54	0	0	10
"20"	1	2	145	14	2	273	0	9	47	0	5	6	64	76	41	1	42	35	0	5	0	77	7	55	2	16	55	1	19	5	85	0	35	0	0	117	111	5	0	32
"21"	6	0	682	1	58	7	0	8	115	0	12	32	36	36	114	22	27	12	1	0	0	108	6	18	4	9	168	0	0	0	135	0	16	0	0	48	44	0	0	41
"22"	16	0	67	8	4	101	4	2	93	0	24	18	36	69	200	26	152	12	0	27	0	157	0	81	9	9	72	3	0	54	101	3	31	14	0	148	84	0	0	30
"23"	8	2	175	0	225	36	22	1	108	18	34	10	48	45	83	1	102	10	17	10	0	131	15	64	2	8	102	12	2	32	75	0	33	1	0	163	124	0	2	23
"24"	64	0	1	24	1	16	0	3	195	0	5	20	61	98	38	18	84	7	1	3	0	49	0	73	6	0	89	0	24	7	73	0	28	0	14	143	40	1	0	5
"25"	14	0	549	0	320	44	6	0	42	0	3	4	11	40	75	18	12	0	0	2	0	6	33	56	12	29	28	0	0	0	14	0	0	0	0	32	22	0	0	10
"26"	17	0	116	0	644	261	8	0	21	0	10	20	34	53	47	4	19	12	0	0	2	95	0	37	0	1	40	0	14	0	83	0	22	0	35	43	71	0	0	6
"27"	4	2	24	3	1	109	3	1	92	57	1	17	71	78	41	24	61	7	13	29	0	78	0	56	0	7	60	23	0	30	35	0	36	0	0	72	53	0	0	6
"28"	36	0	0	0	153	165	0	6	95	0	31	72	50	48	25	22	73	42	6	2	0	57	0	62	8	20	106	0	2	6	103	2	43	1	17	163	207	1	0	32
"29"	1	8	240	0	167	212	15	0	80	0	2	8	55	47	80	18	34	5	17	34	0	71	2	112	4	26	111	0	0	40	116	0	19	0	0	77	102	2	0	8
