"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"
"1"	172	0	2	2	0	0	40	131	21	21	18	15	26	81	0	7	0	0	0	21	0	155	0	1	3	0	8	1	1	10	65	14	90	55	16	0	0	45	0	6	2	10	53	73	0	98	127	45	1	0
"2"	19	48	0	24	0	8	11	108	2	54	42	1	28	65	10	67	0	0	0	29	2	107	16	5	2	16	17	7	0	4	36	0	167	117	27	17	0	0	2	114	4	4	73	117	13	185	176	90	10	0
"3"	51	15	31	0	5	13	19	111	3	9	21	14	8	10	10	19	0	0	0	7	0	83	9	3	12	0	1	2	0	27	9	3	70	19	13	0	5	0	0	26	15	7	32	55	0	127	142	16	0	0
"4"	83	13	32	6	0	0	33	109	0	40	31	5	19	84	0	63	2	0	0	6	2	53	0	2	1	0	9	1	0	15	19	0	54	129	6	0	0	19	0	82	0	10	59	4	0	173	66	3	0	3
"5"	33	3	81	0	0	29	3	70	0	7	38	2	32	68	29	9	1	0	0	0	4	134	0	3	1	0	5	3	0	4	67	22	84	80	2	2	2	8	0	11	0	13	44	38	0	64	62	18	0	0
"6"	47	22	32	0	0	0	28	64	0	22	45	0	28	45	1	6	1	0	0	19	3	95	14	10	11	0	43	12	0	21	43	6	87	44	24	57	1	16	0	85	0	22	67	21	21	62	52	16	0	0
"7"	143	0	138	84	0	45	7	137	9	22	19	0	45	47	6	81	15	1	0	2	0	56	4	0	16	0	57	0	0	49	45	3	166	101	55	0	0	2	0	68	1	4	96	38	1	161	184	77	0	0
"8"	46	0	0	59	5	16	32	137	6	79	27	6	9	54	3	62	15	5	0	16	17	122	12	1	41	22	17	4	16	33	6	0	163	199	33	0	22	26	0	36	1	62	129	122	1	113	98	18	1	1
"9"	23	1	4	30	2	32	0	62	11	24	71	14	12	56	3	25	0	0	0	0	0	145	0	9	9	6	13	0	49	7	60	10	111	26	0	48	0	22	0	24	3	20	103	47	2	114	141	33	0	0
"10"	31	31	44	7	0	26	4	127	0	33	29	2	19	42	1	30	0	0	0	5	17	108	0	1	1	7	6	0	1	8	11	13	95	94	41	0	3	5	0	39	2	0	84	35	0	85	58	26	0	0
"11"	62	9	28	0	0	1	0	43	18	48	24	0	9	47	6	7	2	1	2	2	0	85	0	10	26	0	46	4	0	45	22	15	114	78	17	0	1	14	0	58	2	18	53	55	0	94	126	57	0	0
"12"	37	0	0	0	0	2	2	52	0	25	53	5	19	45	1	47	0	1	0	9	1	47	0	2	5	0	16	5	2	2	20	3	184	69	46	0	51	1	1	48	10	10	70	100	0	143	127	9	5	0
"13"	56	38	9	1	0	0	22	93	0	18	12	3	23	36	5	3	0	0	0	5	19	74	2	8	5	0	4	0	10	12	66	1	35	91	8	0	0	12	0	37	6	1	70	35	0	137	90	33	0	0
"14"	63	133	23	0	1	21	7	68	1	9	61	0	89	143	71	19	0	0	0	1	1	254	41	25	3	4	22	4	0	95	42	1	85	67	4	4	1	61	0	92	13	6	78	77	0	104	153	10	0	0
"15"	41	0	37	0	1	0	3	174	9	49	8	0	93	15	7	27	0	9	0	26	3	92	3	15	28	2	7	0	0	30	46	10	26	82	2	0	32	21	0	81	0	17	125	58	2	146	104	57	0	0
"16"	52	44	6	0	0	9	32	74	0	2	119	0	53	95	0	39	0	3	0	20	0	64	14	5	0	42	19	0	1	2	15	0	246	76	4	3	17	20	0	101	0	9	125	94	3	131	156	114	0	1
"17"	25	2	3	0	0	0	3	80	1	9	62	4	4	41	17	12	0	0	0	0	0	108	1	3	31	0	2	0	0	20	27	28	112	54	21	0	4	0	0	33	1	12	42	35	0	156	150	10	1	0
"18"	46	31	34	0	4	1	3	90	8	95	36	21	39	65	2	39	0	11	6	16	7	154	0	35	28	0	11	0	0	6	48	9	59	115	8	0	2	18	0	72	0	3	60	93	1	94	207	34	2	0
"19"	37	0	0	3	5	14	10	27	2	12	59	1	53	61	22	12	1	6	4	18	0	136	0	10	19	5	14	6	0	23	21	4	95	46	57	0	0	7	0	30	0	3	88	50	2	142	90	31	24	1
"20"	115	31	17	3	0	4	15	74	0	48	29	6	28	19	6	26	1	0	0	1	19	68	0	0	3	1	34	0	5	34	62	3	117	56	23	0	7	25	1	13	29	9	35	59	0	121	138	64	0	0
"21"	74	3	12	3	16	27	32	48	0	5	58	0	29	122	3	15	0	0	0	0	4	62	2	30	16	0	24	0	9	15	29	9	100	117	4	0	0	0	0	49	0	5	51	50	2	127	93	86	0	0
"22"	35	36	20	4	13	2	12	70	6	47	19	0	12	37	2	70	0	0	25	0	0	37	0	0	24	0	22	31	0	6	7	3	100	60	18	1	0	9	0	88	11	9	26	40	0	173	211	30	0	1
"23"	9	13	8	0	7	0	25	63	0	22	48	0	16	34	4	24	0	0	11	3	0	117	0	12	6	2	21	0	0	16	29	1	147	106	8	1	0	4	0	108	26	10	71	26	0	98	151	26	0	0
"24"	121	5	51	0	6	2	5	31	2	31	96	1	15	44	2	76	0	6	0	16	0	174	17	11	1	20	7	0	0	20	27	2	20	118	10	3	0	14	0	25	0	8	54	108	1	176	60	48	0	0
"25"	50	5	0	17	1	0	7	180	0	37	64	3	39	42	1	32	2	0	0	10	13	97	0	1	2	0	11	1	0	17	74	2	91	151	25	0	7	13	7	18	3	11	32	7	0	49	182	26	0	1
"26"	58	3	14	52	0	1	12	116	7	124	49	1	102	10	16	65	0	0	0	31	0	124	0	39	3	0	13	0	0	18	51	1	134	121	7	0	1	14	4	17	30	31	90	71	0	93	171	59	0	0
"27"	48	201	10	1	0	0	27	97	0	9	84	0	5	84	0	63	7	0	0	16	3	99	9	7	1	0	1	0	0	68	15	1	131	190	17	2	0	14	0	81	19	25	38	44	0	239	102	28	0	3
"28"	34	98	0	0	36	0	29	125	31	114	29	0	35	31	27	55	0	0	0	0	1	93	12	6	1	0	15	0	0	3	75	4	96	149	63	0	0	0	0	29	1	28	81	53	0	150	87	13	1	0
"29"	61	33	67	69	0	50	3	86	2	45	49	7	71	13	15	8	1	0	0	38	2	75	1	2	5	4	15	0	0	26	53	16	58	88	56	0	0	9	0	21	7	2	90	93	11	172	54	5	0	0
"30"	77	3	9	35	19	1	23	99	13	25	52	0	57	30	2	38	0	0	0	11	5	96	0	6	4	0	7	1	1	32	22	7	121	132	56	0	9	18	0	12	6	6	157	46	1	103	143	38	1	0
"31"	143	2	2	0	19	7	15	109	7	129	25	1	28	40	1	76	14	5	0	6	1	147	1	5	2	0	41	0	0	61	9	0	94	147	6	10	12	0	0	129	8	34	57	19	2	88	99	33	0	0
"32"	295	0	319	5	0	0	5	83	2	5	56	1	18	7	0	35	0	0	0	1	17	98	0	3	20	23	42	4	0	0	41	0	102	81	6	12	4	0	13	87	4	34	115	42	0	108	123	3	0	12
"33"	51	4	2	0	5	1	3	150	13	23	60	2	8	107	3	32	0	0	0	3	1	73	0	0	11	4	16	4	0	35	11	0	116	83	36	6	8	0	0	85	16	4	129	45	1	93	90	19	0	1
"34"	26	0	11	0	53	1	6	193	6	1	81	0	18	113	35	16	0	0	0	7	0	174	7	0	16	8	1	0	0	3	16	0	90	64	5	0	1	2	0	65	8	8	48	48	5	221	98	23	0	0
"35"	33	3	19	0	0	0	34	95	0	22	16	0	53	44	0	26	0	0	0	17	0	74	0	26	7	0	22	0	6	15	13	1	75	98	4	0	26	14	2	64	0	41	27	29	2	154	64	17	0	0
"36"	29	4	0	8	0	31	3	82	0	18	29	0	42	33	7	112	23	0	0	0	0	144	69	12	3	0	13	0	1	5	34	8	62	56	98	0	0	49	0	29	9	25	73	7	3	110	44	29	0	0
"37"	32	0	0	0	49	9	6	68	2	19	16	1	29	45	21	12	0	0	0	2	0	67	6	3	3	1	14	0	16	10	45	0	64	79	8	0	1	22	0	19	0	18	81	21	1	75	113	33	0	0
