"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"
"1"	0	4	14	56	8	0	0	0	0	4	0	15	12	0	12	3	0	0	25	0	4	7	12	2	5	0	7	0	0	17	0	16	0	1	2	1	0	0	5	2	36	8	0	0	15	0	2	25	0	0	7	0	68	1	0	2	8	0	27	125	0	1	0	12	0	0	2	28	9	63	0	0	0	16	6	5	0	0	4	23	0	6	0	11	2	0	0	30	20	0	0	0	4	35	1	0	1	26	74	0	1	0	22	2	4	6	0	25	2	89	0	0	11	3	0	2	8	1	0	1	87	57	35	0	0	4	3	8	8	13	0	22	0	5	76	41	0	0	0	17	24	14	0	11	35	27	0	0	21	1
"2"	10	1	10	6	2	0	0	0	3	0	0	3	33	0	9	0	0	2	27	0	0	12	6	0	6	0	6	0	23	15	0	0	0	0	22	0	0	0	4	0	42	12	0	0	9	0	17	35	0	0	0	0	10	3	0	20	9	0	2	23	0	10	3	0	0	4	0	22	22	20	12	7	5	10	9	21	0	0	0	9	0	33	0	0	5	0	0	2	12	0	19	0	8	18	0	0	73	5	12	0	7	0	7	0	10	13	13	0	7	17	1	0	1	0	3	0	5	17	2	8	46	2	10	0	0	23	5	7	0	17	2	12	0	4	15	39	3	0	0	19	15	0	0	24	12	13	0	0	37	0
"3"	0	10	0	6	42	0	0	2	0	0	1	38	7	1	4	3	0	1	18	0	0	12	0	0	1	0	0	0	6	6	0	12	0	2	9	1	1	0	6	5	20	13	0	0	2	0	15	40	0	0	0	15	31	2	0	0	34	0	3	7	12	0	0	3	0	0	12	24	13	38	1	0	0	11	2	12	0	0	0	30	1	6	0	7	3	0	0	0	41	5	1	0	2	13	0	0	8	16	52	0	0	0	38	6	1	20	7	0	2	18	0	0	1	13	0	0	4	7	0	6	19	16	3	0	6	18	1	17	0	7	0	5	1	30	3	31	0	0	0	3	4	0	0	32	20	29	0	34	33	0
"4"	1	9	0	0	0	11	0	0	0	0	0	35	2	2	31	0	0	0	27	0	1	10	3	0	2	0	1	4	6	13	0	31	0	0	31	0	1	4	0	0	13	2	0	0	21	103	35	78	0	1	1	23	3	28	0	1	40	0	4	7	0	4	0	5	13	5	0	16	20	66	9	0	3	71	23	5	0	0	0	33	1	116	0	0	2	0	0	0	64	12	0	0	0	48	0	1	64	0	23	0	34	0	54	9	9	75	1	0	6	17	0	0	5	0	0	0	4	2	8	0	117	4	17	0	38	5	6	0	2	11	0	16	0	13	25	87	0	0	0	46	13	0	0	34	38	8	0	2	10	3
"5"	0	6	1	2	0	0	0	5	0	0	0	17	0	0	10	0	0	0	33	0	0	62	2	16	0	0	36	1	11	23	0	19	2	0	1	3	0	0	10	16	4	12	0	0	1	2	27	41	0	0	0	0	17	10	1	2	12	0	1	13	0	17	0	3	0	3	0	19	18	40	1	1	0	13	0	23	2	0	4	16	0	21	0	0	24	0	0	0	23	0	3	0	1	1	8	0	39	0	35	35	12	0	5	11	16	11	0	0	0	21	0	0	4	5	9	0	0	10	0	4	58	25	19	0	0	8	2	7	0	18	0	0	0	1	46	73	1	0	2	8	17	4	0	30	7	28	0	4	8	10
"6"	0	2	3	7	10	0	0	13	0	0	0	30	4	0	2	0	0	0	23	0	0	1	4	5	0	1	2	0	9	20	0	12	0	0	15	4	0	0	19	1	41	13	0	0	20	0	30	11	0	0	1	0	17	0	0	19	57	0	16	8	9	16	0	0	13	0	20	32	10	9	0	0	0	1	0	12	0	0	0	33	0	1	0	0	0	0	0	15	6	31	0	0	16	35	0	0	77	0	44	0	32	0	8	8	2	23	58	0	0	11	0	0	8	13	8	0	0	0	0	11	132	23	4	0	0	13	2	1	14	82	0	9	0	44	32	45	0	1	10	38	2	0	0	32	15	45	1	1	11	35
"7"	0	0	23	87	85	0	0	0	0	2	0	22	2	0	23	0	0	1	5	0	0	10	19	0	0	0	1	0	34	16	0	6	0	0	16	0	0	0	5	0	12	4	0	0	9	0	28	44	0	0	0	1	47	0	0	11	1	0	12	15	0	3	0	5	1	0	0	20	27	100	0	0	0	2	2	25	1	0	39	90	0	63	0	0	0	0	0	0	2	0	0	18	2	9	0	0	10	8	33	0	37	2	28	0	0	9	0	0	0	47	0	0	0	3	0	2	32	1	3	5	78	46	23	0	1	7	1	0	19	0	1	0	0	17	5	41	0	0	0	2	5	11	0	15	11	48	0	9	32	3
"8"	9	84	0	42	84	0	0	0	0	23	0	14	0	0	22	0	0	0	22	10	1	4	18	4	0	0	1	0	25	17	0	10	0	6	17	1	6	21	0	0	39	38	0	0	17	0	17	60	0	0	0	0	54	0	0	4	8	0	0	27	0	0	1	4	11	0	0	47	10	41	0	0	1	4	0	40	2	0	0	34	0	4	0	0	20	0	0	3	47	0	0	0	3	47	0	0	16	2	20	21	14	0	68	7	3	12	1	0	0	44	0	0	0	0	2	17	38	9	0	46	96	3	11	0	0	23	5	2	0	86	4	1	0	29	21	57	0	0	0	49	37	8	0	23	11	6	0	1	54	3
"9"	2	1	23	65	11	0	0	0	0	0	0	60	5	4	11	0	3	0	12	0	28	13	1	35	0	0	1	0	44	11	5	4	0	0	3	0	0	0	0	0	45	26	0	0	0	6	30	56	0	0	6	0	23	9	0	10	0	0	5	9	0	30	0	8	0	0	0	7	42	55	0	4	6	1	4	35	0	0	6	17	0	39	0	0	22	0	0	3	20	24	1	3	16	10	0	0	36	1	77	1	0	0	68	0	12	4	0	4	5	58	10	0	7	0	0	0	1	3	11	24	85	6	13	0	0	16	7	0	31	23	0	13	0	9	72	83	0	0	0	20	5	0	0	34	12	85	0	0	3	2
"10"	0	12	22	20	0	0	0	0	3	0	0	10	4	0	26	3	6	0	18	0	0	36	9	1	0	0	20	0	25	17	0	6	1	0	7	0	0	0	33	2	12	24	0	0	67	0	15	43	0	0	0	0	14	9	0	10	28	0	9	22	7	1	0	0	0	0	0	60	24	44	0	0	5	2	0	23	2	0	4	61	0	11	0	6	0	0	0	1	57	11	0	0	5	25	0	0	79	0	93	0	2	0	32	1	2	11	0	0	0	10	27	0	1	0	0	9	13	2	3	1	85	8	29	0	41	20	27	1	2	26	0	2	0	3	69	120	0	1	0	2	2	13	1	39	11	47	0	1	6	2
