"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	0	1	12	62	5	0	30	2	0	13	51	51	1	102	0	49	6	0	26	44	64	1	51	19	53	54	18	25	8	0	127	5	15	0	14	13	116	7	0	102	0	0	0	9	4	0	3	7	1	0	8	0	13	19	11	0	0	25	15	10	116	0	0	0	74	29	2	2	2	1	100	154	5	0	0	13	1	85	0	0
"2"	10	0	339	146	39	0	17	6	0	6	69	48	10	76	15	96	1	8	19	26	90	5	22	0	77	39	18	13	0	1	20	0	4	0	0	9	66	0	0	54	0	0	0	7	0	0	0	0	6	0	0	0	12	0	3	0	0	17	12	3	54	7	0	0	48	26	18	20	0	20	56	119	1	0	0	10	9	46	0	1
"3"	0	0	69	5	0	0	21	3	0	0	32	47	0	24	0	41	15	0	0	11	71	1	10	1	47	22	12	12	0	0	9	28	0	0	1	2	6	0	3	49	0	3	0	6	0	5	19	0	3	0	2	0	12	0	20	0	15	17	0	17	67	8	0	2	74	37	1	14	3	2	49	76	8	0	0	29	9	99	0	6
"4"	0	12	8	0	37	18	10	27	0	30	41	122	10	118	2	34	6	7	11	51	78	2	37	64	56	43	19	24	0	0	17	26	33	0	0	35	4	0	0	70	2	12	1	103	0	1	26	55	0	1	0	0	44	6	17	0	4	18	3	21	44	0	2	0	62	62	6	4	0	14	109	87	10	0	0	17	1	77	0	4
"5"	17	0	0	42	30	0	26	32	0	2	6	34	0	56	19	83	2	0	0	48	41	16	31	0	53	34	38	7	0	0	26	5	6	0	0	14	24	0	0	24	2	5	12	2	0	11	6	24	0	0	0	0	10	0	5	10	0	28	7	24	17	11	0	0	138	56	1	4	0	1	37	44	3	0	0	52	11	41	0	2
"6"	0	11	103	19	11	0	13	6	0	0	41	32	0	81	0	37	6	0	8	3	98	0	45	2	82	43	41	37	0	0	24	23	0	0	20	18	66	0	0	69	0	3	0	1	0	6	5	1	5	0	2	0	64	0	4	0	0	18	0	3	42	9	0	0	18	39	3	17	0	4	136	41	8	0	0	62	9	91	0	0
"7"	16	1	0	0	90	39	6	7	0	0	17	61	0	78	0	87	1	0	17	5	49	12	74	0	22	85	50	14	6	0	68	28	6	1	0	18	17	0	0	39	11	0	0	1	0	0	11	8	6	0	0	0	4	0	5	0	0	33	18	12	89	3	1	0	110	33	4	106	0	1	126	125	17	1	1	54	1	106	0	6
"8"	2	2	76	0	112	18	1	2	2	0	36	70	0	43	0	30	0	0	5	4	76	2	33	2	40	61	19	12	4	0	48	3	33	0	1	27	7	1	0	47	0	0	0	0	0	0	10	2	21	0	0	14	5	9	12	0	0	53	6	55	35	9	0	5	49	77	8	16	0	2	61	188	3	13	0	66	4	147	0	0
"9"	1	1	15	64	31	7	5	2	0	3	39	94	3	138	0	27	2	0	11	48	130	0	2	0	52	39	50	51	13	0	10	12	1	0	0	19	72	0	0	82	6	1	0	2	0	0	13	8	2	0	0	0	10	0	33	0	0	31	0	52	67	5	0	0	34	56	1	26	5	28	67	71	8	5	0	4	4	37	0	10
"10"	0	0	149	7	16	5	0	1	0	16	35	18	28	109	0	41	32	0	0	10	87	0	5	1	60	56	13	11	1	0	16	16	25	0	5	1	6	0	0	22	0	2	0	3	0	0	8	4	11	1	0	0	48	0	29	0	0	0	0	6	28	6	0	5	48	42	24	17	4	8	133	56	13	0	0	9	28	111	0	3
"11"	23	0	218	45	3	0	16	5	0	2	52	63	0	45	0	17	0	0	0	5	124	0	9	0	52	33	66	4	1	0	46	0	5	0	13	17	27	0	0	62	0	0	0	2	0	0	6	0	0	0	0	2	19	0	7	0	3	3	8	12	75	4	23	0	37	34	0	16	0	29	32	56	0	1	0	12	1	100	0	0
"12"	0	3	49	114	56	0	3	6	0	0	39	142	0	41	0	42	0	0	11	3	146	2	4	0	49	80	57	41	0	0	41	23	19	0	73	23	26	0	0	40	0	0	0	2	0	0	15	0	4	17	0	0	13	0	30	0	0	22	12	18	65	1	0	0	178	63	2	16	17	35	98	115	1	0	0	36	12	66	0	3
"13"	7	59	4	27	10	0	17	13	0	8	17	102	25	67	2	57	1	0	0	0	95	0	36	1	14	57	19	4	0	4	15	18	8	0	0	0	16	5	0	40	3	2	2	2	0	52	3	12	2	0	10	0	0	2	20	0	0	16	1	24	53	2	0	12	62	67	31	39	1	12	76	112	0	0	0	7	30	74	0	1
"14"	0	22	2	4	3	0	17	3	0	0	48	46	2	144	0	10	0	0	1	11	54	2	31	0	29	41	19	24	2	2	30	4	72	2	0	18	71	0	0	26	0	0	0	13	0	0	15	0	11	0	3	0	22	7	41	4	0	5	2	11	31	1	0	0	33	102	4	14	0	0	30	31	0	0	0	41	0	45	0	0
"15"	0	0	11	19	25	0	13	0	0	15	54	112	0	123	0	13	9	0	16	29	106	14	16	0	20	22	45	20	3	0	10	2	10	0	2	8	27	0	0	38	5	0	0	14	0	6	15	9	12	0	0	0	4	4	36	1	0	16	6	0	52	0	0	0	40	42	1	33	0	5	60	87	27	0	0	21	2	59	1	0
"16"	21	0	1	19	38	2	0	6	0	0	28	39	2	116	0	10	0	1	14	8	15	4	36	0	22	46	22	18	14	0	21	5	12	0	0	35	32	0	0	5	2	0	0	1	2	3	13	0	0	0	0	0	65	17	12	0	0	32	0	46	44	5	0	0	29	93	8	8	11	1	90	101	0	2	0	14	13	97	0	8
